method,task,protocol,classifier,feature_set,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,n_features,n_selected_features,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,epochs,seed,shared_roi_top_k
T1_ONLY,cn_vs_ad,attention_mil,attention_mil,roi_mean,167,48,8350,2400,159,159,0.9375,0.7,0.768860353130016,0.8372093023255813,80.0,2026.0,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,attention_mil,attention_mil,roi_mean,167,48,8350,2400,159,159,0.8333333333333334,0.7302325581395348,0.6655052264808362,0.786046511627907,80.0,2026.0,0
FA_GT,cn_vs_ad,attention_mil,attention_mil,roi_mean,167,48,8350,2400,159,159,0.8333333333333334,0.6418604651162791,0.6190476190476191,0.6744186046511629,80.0,2026.0,0
ADNI_A080_BASE,cn_vs_ad,attention_mil,attention_mil,roi_mean,167,48,8350,2400,159,159,0.6875,0.6488372093023256,0.5428571428571429,0.7162790697674419,80.0,2026.0,0
ADNI_A080_DS_FULL,cn_vs_ad,attention_mil,attention_mil,roi_mean,167,48,8350,2400,159,159,0.6666666666666666,0.6372093023255814,0.5282555282555282,0.7767441860465116,80.0,2026.0,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,48,13600,3900,159,159,0.8958333333333334,0.7651162790697674,0.7433155080213903,0.8558139534883721,80.0,2026.0,0
FA_GT,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,48,13600,3900,159,159,0.8958333333333334,0.6767441860465117,0.6934865900383141,0.7953488372093023,80.0,2026.0,0
T1_ONLY,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,48,13600,3900,159,159,0.8541666666666666,0.741860465116279,0.6886005560704356,0.8186046511627907,80.0,2026.0,0
ADNI_A080_DS_FULL,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,48,13600,3900,159,159,0.8125,0.6302325581395349,0.5996292863762743,0.8465116279069766,80.0,2026.0,0
ADNI_A080_BASE,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,272,48,13600,3900,159,159,0.7916666666666666,0.7069767441860465,0.625,0.8093023255813954,80.0,2026.0,0
ADNI_A080_BASE,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,167,48,8350,2400,159,159,0.8125,0.7186046511627907,0.6444444444444444,0.8372093023255814,,,0
T1_ONLY,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,167,48,8350,2400,159,159,0.8125,0.7186046511627907,0.6444444444444444,0.8139534883720931,,,0
ADNI_A080_DS_FULL,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,167,48,8350,2400,159,159,0.7916666666666666,0.7069767441860465,0.625,0.827906976744186,,,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,167,48,8350,2400,159,159,0.7916666666666666,0.7069767441860465,0.625,0.827906976744186,,,0
FA_GT,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,167,48,8350,2400,159,159,0.7083333333333334,0.5720930232558139,0.5213675213675213,0.7674418604651162,,,0
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,255,73,12750,3650,159,159,0.6301369863013698,0.6457364341085271,0.6298591549295774,0.6899224806201552,80.0,2026.0,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,255,73,12750,3650,159,159,0.6164383561643836,0.613953488372093,0.6105182926829269,0.6852713178294574,80.0,2026.0,0
ADNI_A080_BASE,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,255,73,12750,3650,159,159,0.589041095890411,0.5856589147286821,0.5826981707317074,0.6751937984496124,80.0,2026.0,0
FA_GT,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,255,73,12750,3650,159,159,0.547945205479452,0.5810077519379845,0.5448705837899113,0.5976744186046512,80.0,2026.0,0
T1_ONLY,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,255,73,12750,3650,159,159,0.5205479452054794,0.5527131782945736,0.5172869828074815,0.6333333333333333,80.0,2026.0,0
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,272,73,13600,3900,159,159,0.6712328767123288,0.6302325581395349,0.6275510204081632,0.7,80.0,2026.0,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,272,73,13600,3900,159,159,0.6438356164383562,0.6069767441860465,0.6045833333333333,0.7069767441860465,80.0,2026.0,0
FA_GT,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,272,73,13600,3900,159,159,0.6301369863013698,0.6003875968992248,0.600121728545344,0.7162790697674419,80.0,2026.0,0
ADNI_A080_BASE,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,272,73,13600,3900,159,159,0.6164383561643836,0.6089147286821706,0.60752688172043,0.6852713178294574,80.0,2026.0,0
T1_ONLY,cn_vs_mci_spectrum,multi_task_mil,multi_task_mil,roi_mean,272,73,13600,3900,159,159,0.4931506849315068,0.5143410852713178,0.4927699530516432,0.6395348837209301,80.0,2026.0,0
FA_GT,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.6438356164383562,0.622093023255814,0.6234126984126984,0.6170542635658915,,,0
ADNI_A080_BASE,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.6164383561643836,0.5988372093023255,0.5995297805642633,0.6844961240310078,,,0
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.6027397260273972,0.5821705426356589,0.5826926867731126,0.6511627906976744,,,0
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.589041095890411,0.5655038759689923,0.5654761904761905,0.6689922480620156,,,0
T1_ONLY,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,255,73,12750,3650,159,159,0.5616438356164384,0.5573643410852713,0.5548780487804879,0.6387596899224807,,,0
ADNI_A080_BASE,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.8857142857142857,0.6,0.6354166666666666,0.5466666666666667,80.0,2026.0,0
FA_GT,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,122,35,6100,1750,159,159,0.8571428571428571,0.6666666666666667,0.6812386156648451,0.5866666666666667,80.0,2026.0,0
