method,protocol,task,class_label,f1,n_subject_rows
ADNI_A080_BASE,attention_mil,cn_vs_ad,0,0.8,48
ADNI_A080_BASE,attention_mil,cn_vs_ad,1,0.2857142857142857,48
ADNI_A080_BASE,attention_mil,cn_vs_mci_spectrum,0,0.6341463414634146,73
ADNI_A080_BASE,attention_mil,cn_vs_mci_spectrum,1,0.53125,73
ADNI_A080_BASE,attention_mil,mci_spectrum_vs_ad,0,0.9375,35
ADNI_A080_BASE,attention_mil,mci_spectrum_vs_ad,1,0.3333333333333333,35
ADNI_A080_BASE,multi_task_mil,cn_vs_ad,0,0.875,48
ADNI_A080_BASE,multi_task_mil,cn_vs_ad,1,0.375,48
ADNI_A080_BASE,multi_task_mil,cn_vs_mci_spectrum,0,0.6666666666666666,73
ADNI_A080_BASE,multi_task_mil,cn_vs_mci_spectrum,1,0.5483870967741935,73
ADNI_A080_BASE,multi_task_mil,mci_spectrum_vs_ad,0,0.8709677419354839,35
ADNI_A080_BASE,multi_task_mil,mci_spectrum_vs_ad,1,0.0,35
ADNI_A080_BASE,slice_svm_vote,cn_vs_ad,0,0.8888888888888888,48
ADNI_A080_BASE,slice_svm_vote,cn_vs_ad,1,0.4,48
ADNI_A080_BASE,slice_svm_vote,cn_vs_mci_spectrum,0,0.6818181818181818,73
ADNI_A080_BASE,slice_svm_vote,cn_vs_mci_spectrum,1,0.5172413793103449,73
ADNI_A080_BASE,slice_svm_vote,mci_spectrum_vs_ad,0,0.9152542372881356,35
ADNI_A080_BASE,slice_svm_vote,mci_spectrum_vs_ad,1,0.5454545454545454,35
ADNI_A080_DS_FULL,attention_mil,cn_vs_ad,0,0.7837837837837838,48
ADNI_A080_DS_FULL,attention_mil,cn_vs_ad,1,0.2727272727272727,48
ADNI_A080_DS_FULL,attention_mil,cn_vs_mci_spectrum,0,0.64,73
ADNI_A080_DS_FULL,attention_mil,cn_vs_mci_spectrum,1,0.6197183098591549,73
ADNI_A080_DS_FULL,attention_mil,mci_spectrum_vs_ad,0,0.72,35
ADNI_A080_DS_FULL,attention_mil,mci_spectrum_vs_ad,1,0.3,35
ADNI_A080_DS_FULL,multi_task_mil,cn_vs_ad,0,0.891566265060241,48
ADNI_A080_DS_FULL,multi_task_mil,cn_vs_ad,1,0.3076923076923077,48
ADNI_A080_DS_FULL,multi_task_mil,cn_vs_mci_spectrum,0,0.7551020408163265,73
ADNI_A080_DS_FULL,multi_task_mil,cn_vs_mci_spectrum,1,0.5,73
ADNI_A080_DS_FULL,multi_task_mil,mci_spectrum_vs_ad,0,0.8852459016393442,35
ADNI_A080_DS_FULL,multi_task_mil,mci_spectrum_vs_ad,1,0.2222222222222222,35
ADNI_A080_DS_FULL,slice_svm_vote,cn_vs_ad,0,0.875,48
ADNI_A080_DS_FULL,slice_svm_vote,cn_vs_ad,1,0.375,48
ADNI_A080_DS_FULL,slice_svm_vote,cn_vs_mci_spectrum,0,0.6666666666666666,73
ADNI_A080_DS_FULL,slice_svm_vote,cn_vs_mci_spectrum,1,0.4642857142857143,73
ADNI_A080_DS_FULL,slice_svm_vote,mci_spectrum_vs_ad,0,0.896551724137931,35
ADNI_A080_DS_FULL,slice_svm_vote,mci_spectrum_vs_ad,1,0.5,35
ADNI_CYCLEGAN,attention_mil,cn_vs_ad,0,0.9302325581395349,48
ADNI_CYCLEGAN,attention_mil,cn_vs_ad,1,0.4,48
ADNI_CYCLEGAN,attention_mil,cn_vs_mci_spectrum,0,0.46153846153846156,73
ADNI_CYCLEGAN,attention_mil,cn_vs_mci_spectrum,1,0.5679012345679012,73
ADNI_CYCLEGAN,attention_mil,mci_spectrum_vs_ad,0,0.8620689655172413,35
ADNI_CYCLEGAN,attention_mil,mci_spectrum_vs_ad,1,0.3333333333333333,35
ADNI_CYCLEGAN,multi_task_mil,cn_vs_ad,0,0.8354430379746836,48
ADNI_CYCLEGAN,multi_task_mil,cn_vs_ad,1,0.23529411764705882,48
ADNI_CYCLEGAN,multi_task_mil,cn_vs_mci_spectrum,0,0.56,73
ADNI_CYCLEGAN,multi_task_mil,cn_vs_mci_spectrum,1,0.5352112676056338,73
ADNI_CYCLEGAN,multi_task_mil,mci_spectrum_vs_ad,0,0.7777777777777778,35
ADNI_CYCLEGAN,multi_task_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_CYCLEGAN,slice_svm_vote,cn_vs_ad,0,0.8780487804878049,48
ADNI_CYCLEGAN,slice_svm_vote,cn_vs_ad,1,0.2857142857142857,48
ADNI_CYCLEGAN,slice_svm_vote,cn_vs_mci_spectrum,0,0.6666666666666666,73
ADNI_CYCLEGAN,slice_svm_vote,cn_vs_mci_spectrum,1,0.5084745762711864,73
ADNI_CYCLEGAN,slice_svm_vote,mci_spectrum_vs_ad,0,0.8214285714285714,35
ADNI_CYCLEGAN,slice_svm_vote,mci_spectrum_vs_ad,1,0.2857142857142857,35
ADNI_DBM,attention_mil,cn_vs_ad,0,0.7323943661971831,48
ADNI_DBM,attention_mil,cn_vs_ad,1,0.24,48
ADNI_DBM,attention_mil,cn_vs_mci_spectrum,0,0.5526315789473685,73
ADNI_DBM,attention_mil,cn_vs_mci_spectrum,1,0.5142857142857142,73
ADNI_DBM,attention_mil,mci_spectrum_vs_ad,0,0.72,35
ADNI_DBM,attention_mil,mci_spectrum_vs_ad,1,0.3,35
ADNI_DBM,multi_task_mil,cn_vs_ad,0,0.891566265060241,48
ADNI_DBM,multi_task_mil,cn_vs_ad,1,0.3076923076923077,48
ADNI_DBM,multi_task_mil,cn_vs_mci_spectrum,0,0.6428571428571429,73
ADNI_DBM,multi_task_mil,cn_vs_mci_spectrum,1,0.5161290322580645,73
ADNI_DBM,multi_task_mil,mci_spectrum_vs_ad,0,0.9032258064516129,35
ADNI_DBM,multi_task_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_DBM,slice_svm_vote,cn_vs_ad,0,0.8641975308641975,48
ADNI_DBM,slice_svm_vote,cn_vs_ad,1,0.26666666666666666,48
ADNI_DBM,slice_svm_vote,cn_vs_mci_spectrum,0,0.7191011235955056,73
ADNI_DBM,slice_svm_vote,cn_vs_mci_spectrum,1,0.5614035087719298,73
ADNI_DBM,slice_svm_vote,mci_spectrum_vs_ad,0,0.8,35
ADNI_DBM,slice_svm_vote,mci_spectrum_vs_ad,1,0.26666666666666666,35
ADNI_DDIM,attention_mil,cn_vs_ad,0,0.9545454545454546,48
ADNI_DDIM,attention_mil,cn_vs_ad,1,0.5,48
ADNI_DDIM,attention_mil,cn_vs_mci_spectrum,0,0.39285714285714285,73
ADNI_DDIM,attention_mil,cn_vs_mci_spectrum,1,0.6222222222222222,73
ADNI_DDIM,attention_mil,mci_spectrum_vs_ad,0,0.8888888888888888,35
ADNI_DDIM,attention_mil,mci_spectrum_vs_ad,1,0.0,35
ADNI_DDIM,multi_task_mil,cn_vs_ad,0,0.9302325581395349,48
ADNI_DDIM,multi_task_mil,cn_vs_ad,1,0.4,48
ADNI_DDIM,multi_task_mil,cn_vs_mci_spectrum,0,0.6233766233766234,73
ADNI_DDIM,multi_task_mil,cn_vs_mci_spectrum,1,0.5797101449275363,73
ADNI_DDIM,multi_task_mil,mci_spectrum_vs_ad,0,0.8852459016393442,35
ADNI_DDIM,multi_task_mil,mci_spectrum_vs_ad,1,0.2222222222222222,35
ADNI_DDIM,slice_svm_vote,cn_vs_ad,0,0.8888888888888888,48
ADNI_DDIM,slice_svm_vote,cn_vs_ad,1,0.4,48
ADNI_DDIM,slice_svm_vote,cn_vs_mci_spectrum,0,0.6666666666666666,73
ADNI_DDIM,slice_svm_vote,cn_vs_mci_spectrum,1,0.5084745762711864,73
ADNI_DDIM,slice_svm_vote,mci_spectrum_vs_ad,0,0.8214285714285714,35
ADNI_DDIM,slice_svm_vote,mci_spectrum_vs_ad,1,0.2857142857142857,35
ADNI_LIGHTGUARD_PRIOR_FLOW,attention_mil,cn_vs_ad,0,0.0,48
ADNI_LIGHTGUARD_PRIOR_FLOW,attention_mil,cn_vs_ad,1,0.18867924528301888,48
ADNI_LIGHTGUARD_PRIOR_FLOW,attention_mil,cn_vs_mci_spectrum,0,0.7413793103448276,73
ADNI_LIGHTGUARD_PRIOR_FLOW,attention_mil,cn_vs_mci_spectrum,1,0.0,73
ADNI_LIGHTGUARD_PRIOR_FLOW,attention_mil,mci_spectrum_vs_ad,0,0.0,35
ADNI_LIGHTGUARD_PRIOR_FLOW,attention_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_LIGHTGUARD_PRIOR_FLOW,multi_task_mil,cn_vs_ad,0,0.945054945054945,48
ADNI_LIGHTGUARD_PRIOR_FLOW,multi_task_mil,cn_vs_ad,1,0.0,48
ADNI_LIGHTGUARD_PRIOR_FLOW,multi_task_mil,cn_vs_mci_spectrum,0,0.7413793103448276,73
ADNI_LIGHTGUARD_PRIOR_FLOW,multi_task_mil,cn_vs_mci_spectrum,1,0.0,73
ADNI_LIGHTGUARD_PRIOR_FLOW,multi_task_mil,mci_spectrum_vs_ad,0,0.9230769230769231,35
ADNI_LIGHTGUARD_PRIOR_FLOW,multi_task_mil,mci_spectrum_vs_ad,1,0.0,35
ADNI_LIGHTGUARD_PRIOR_FLOW,slice_svm_vote,cn_vs_ad,0,0.8571428571428571,48
ADNI_LIGHTGUARD_PRIOR_FLOW,slice_svm_vote,cn_vs_ad,1,0.42105263157894735,48
ADNI_LIGHTGUARD_PRIOR_FLOW,slice_svm_vote,cn_vs_mci_spectrum,0,0.7333333333333333,73
ADNI_LIGHTGUARD_PRIOR_FLOW,slice_svm_vote,cn_vs_mci_spectrum,1,0.5714285714285714,73
ADNI_LIGHTGUARD_PRIOR_FLOW,slice_svm_vote,mci_spectrum_vs_ad,0,0.8301886792452831,35
ADNI_LIGHTGUARD_PRIOR_FLOW,slice_svm_vote,mci_spectrum_vs_ad,1,0.47058823529411764,35
ADNI_MOTFM,attention_mil,cn_vs_ad,0,0.9772727272727273,48
ADNI_MOTFM,attention_mil,cn_vs_ad,1,0.75,48
ADNI_MOTFM,attention_mil,cn_vs_mci_spectrum,0,0.5074626865671642,73
ADNI_MOTFM,attention_mil,cn_vs_mci_spectrum,1,0.5822784810126582,73
ADNI_MOTFM,attention_mil,mci_spectrum_vs_ad,0,0.9032258064516129,35
ADNI_MOTFM,attention_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_MOTFM,multi_task_mil,cn_vs_ad,0,0.9156626506024096,48
ADNI_MOTFM,multi_task_mil,cn_vs_ad,1,0.46153846153846156,48
ADNI_MOTFM,multi_task_mil,cn_vs_mci_spectrum,0,0.5277777777777778,73
ADNI_MOTFM,multi_task_mil,cn_vs_mci_spectrum,1,0.5405405405405406,73
ADNI_MOTFM,multi_task_mil,mci_spectrum_vs_ad,0,0.8148148148148148,35
ADNI_MOTFM,multi_task_mil,mci_spectrum_vs_ad,1,0.375,35
ADNI_MOTFM,slice_svm_vote,cn_vs_ad,0,0.8888888888888888,48
ADNI_MOTFM,slice_svm_vote,cn_vs_ad,1,0.4,48
ADNI_MOTFM,slice_svm_vote,cn_vs_mci_spectrum,0,0.6511627906976745,73
ADNI_MOTFM,slice_svm_vote,cn_vs_mci_spectrum,1,0.5,73
ADNI_MOTFM,slice_svm_vote,mci_spectrum_vs_ad,0,0.7407407407407407,35
ADNI_MOTFM,slice_svm_vote,mci_spectrum_vs_ad,1,0.125,35
ADNI_OLD_FIDELITY_FLOW,attention_mil,cn_vs_ad,0,0.9024390243902439,48
ADNI_OLD_FIDELITY_FLOW,attention_mil,cn_vs_ad,1,0.42857142857142855,48
ADNI_OLD_FIDELITY_FLOW,attention_mil,cn_vs_mci_spectrum,0,0.6585365853658537,73
ADNI_OLD_FIDELITY_FLOW,attention_mil,cn_vs_mci_spectrum,1,0.5625,73
ADNI_OLD_FIDELITY_FLOW,attention_mil,mci_spectrum_vs_ad,0,0.0,35
ADNI_OLD_FIDELITY_FLOW,attention_mil,mci_spectrum_vs_ad,1,0.25,35
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,cn_vs_ad,0,0.9411764705882353,48
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,cn_vs_ad,1,0.5454545454545454,48
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,cn_vs_mci_spectrum,0,0.7291666666666666,73
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,cn_vs_mci_spectrum,1,0.48,73
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,mci_spectrum_vs_ad,0,0.8852459016393442,35
ADNI_OLD_FIDELITY_FLOW,multi_task_mil,mci_spectrum_vs_ad,1,0.2222222222222222,35
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_ad,0,0.875,48
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_ad,1,0.375,48
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_mci_spectrum,0,0.6741573033707865,73
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,cn_vs_mci_spectrum,1,0.49122807017543857,73
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,mci_spectrum_vs_ad,0,0.8571428571428571,35
ADNI_OLD_FIDELITY_FLOW,slice_svm_vote,mci_spectrum_vs_ad,1,0.42857142857142855,35
ADNI_PIX2PIX,attention_mil,cn_vs_ad,0,0.7837837837837838,48
ADNI_PIX2PIX,attention_mil,cn_vs_ad,1,0.2727272727272727,48
ADNI_PIX2PIX,attention_mil,cn_vs_mci_spectrum,0,0.7191011235955056,73
ADNI_PIX2PIX,attention_mil,cn_vs_mci_spectrum,1,0.5614035087719298,73
ADNI_PIX2PIX,attention_mil,mci_spectrum_vs_ad,0,0.72,35
ADNI_PIX2PIX,attention_mil,mci_spectrum_vs_ad,1,0.3,35
ADNI_PIX2PIX,multi_task_mil,cn_vs_ad,0,0.891566265060241,48
ADNI_PIX2PIX,multi_task_mil,cn_vs_ad,1,0.3076923076923077,48
ADNI_PIX2PIX,multi_task_mil,cn_vs_mci_spectrum,0,0.6506024096385542,73
ADNI_PIX2PIX,multi_task_mil,cn_vs_mci_spectrum,1,0.5396825396825397,73
ADNI_PIX2PIX,multi_task_mil,mci_spectrum_vs_ad,0,0.847457627118644,35
ADNI_PIX2PIX,multi_task_mil,mci_spectrum_vs_ad,1,0.18181818181818182,35
