method,task,rows,mean_accuracy,mean_macro_auc,mean_macro_f1
ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,3,0.8402777777777778,0.8232558139534883,0.6779402448340756
T1_ONLY,cn_vs_ad,3,0.8680555555555555,0.8232558139534883,0.700635117881632
ADNI_A080_DS_FULL,cn_vs_ad,3,0.7569444444444443,0.8170542635658915,0.5842949382106009
ADNI_A080_BASE,cn_vs_ad,3,0.7638888888888888,0.7875968992248062,0.6041005291005291
ADNI_UNET,cn_vs_ad,3,0.7430555555555555,0.7813953488372093,0.5689285149173483
ADNI_CYCLEGAN,cn_vs_ad,3,0.798611111111111,0.765891472868217,0.5941221299938947
ADNI_PIX2PIX,cn_vs_ad,3,0.7638888888888888,0.7612403100775195,0.5907764196920823
FA_GT,cn_vs_ad,3,0.8125,0.7457364341085272,0.6113005768178182
ADNI_LIGHTGUARD_PRIOR_FLOW,cn_vs_ad,3,0.5902777777777778,0.7302325581395349,0.4019882798432947
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,3,0.6301369863013698,0.6863049095607235,0.6076287886046438
ADNI_A080_BASE,cn_vs_mci_spectrum,3,0.6073059360730594,0.6816537467700258,0.5965849443388002
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,3,0.6210045662100456,0.6811369509043926,0.5992647709297909
ADNI_PIX2PIX,cn_vs_mci_spectrum,3,0.6484018264840182,0.6731266149870802,0.6315859149300994
ADNI_UNET,cn_vs_mci_spectrum,3,0.6118721461187214,0.6506459948320413,0.5993771151942067
FA_GT,cn_vs_mci_spectrum,3,0.6073059360730594,0.6436692506459949,0.5894683369159845
T1_ONLY,cn_vs_mci_spectrum,3,0.5251141552511416,0.6372093023255814,0.5216449948798708
ADNI_CYCLEGAN,cn_vs_mci_spectrum,3,0.5570776255707762,0.6209302325581395,0.5499653677749748
ADNI_LIGHTGUARD_PRIOR_FLOW,cn_vs_mci_spectrum,3,0.6164383561643836,0.5630490956072352,0.46458675424192664
ADNI_LIGHTGUARD_PRIOR_FLOW,mci_spectrum_vs_ad,3,0.580952380952381,0.6666666666666666,0.412308972936054
T1_ONLY,mci_spectrum_vs_ad,3,0.6761904761904761,0.6666666666666666,0.5223392470238081
ADNI_A080_DS_FULL,mci_spectrum_vs_ad,3,0.7428571428571429,0.6644444444444445,0.5873366413332496
FA_GT,mci_spectrum_vs_ad,3,0.7523809523809524,0.6377777777777778,0.5172259037047818
ADNI_A080_BASE,mci_spectrum_vs_ad,3,0.8380952380952381,0.6355555555555555,0.600418309668583
ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,3,0.5714285714285715,0.6355555555555555,0.4405304015959753
ADNI_UNET,mci_spectrum_vs_ad,3,0.4666666666666666,0.6333333333333334,0.3717948717948718
ADNI_PIX2PIX,mci_spectrum_vs_ad,3,0.7238095238095239,0.6333333333333333,0.5743045888457928
ADNI_CYCLEGAN,mci_spectrum_vs_ad,3,0.7142857142857143,0.6311111111111112,0.5550538222952016
