method,task,n_repeats,seed_min,seed_max,n_subjects,n_features,n_selected_features,n_splits,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,macro_auc_ovr_mean,macro_auc_ovr_std,macro_auc_ovr_ci95_low,macro_auc_ovr_ci95_high
T1_ONLY,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.5835616438356165,0.022922192507782893,0.5634694562244468,0.6036538314467862,0.569922480620155,0.019612173298895738,0.5527316527684829,0.5871133084718272,0.5696346107753257,0.020103388435509132,0.5520132138723322,0.5872560076783193,0.6017054263565891,0.03700850211792796,0.5692660439759853,0.6341448087371928
T1_ONLY,cn_vs_ad,5,2026,2030,48,12,12,5,0.7916666666666667,0.038975597778895234,0.7575030489165253,0.8258302844168082,0.5302325581395348,0.06616677553700834,0.4722348222220683,0.5882302940570014,0.5215991259082914,0.05247275631005111,0.4756047270784777,0.5675935247381051,0.7413953488372094,0.0428311234724515,0.7038522138114707,0.7789384838629481
T1_ONLY,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.6914285714285715,0.046947647786157114,0.650277143749814,0.732579999107329,0.42000000000000004,0.03613247231446466,0.38832849159821337,0.4516715084017867,0.42197612628505715,0.027752593306871184,0.39764990569211783,0.44630234687799647,0.3866666666666666,0.04546060565661954,0.3468186888844336,0.4265146444488996
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.5808219178082192,0.06171989219763729,0.5267220469972119,0.6349217886192265,0.5544961240310077,0.058736342542077304,0.503011449798879,0.6059807982631363,0.5540326085697252,0.05950496469261103,0.5018742073175753,0.6061910098218752,0.534108527131783,0.0628887166799889,0.4789841364902244,0.5892329177733416
ADNI_A080_DS_FULL,cn_vs_ad,5,2026,2030,48,12,12,5,0.75,0.053114786599924864,0.7034428368084519,0.7965571631915481,0.5423255813953488,0.061119004576231456,0.4887524118071157,0.5958987509835819,0.5209298611833284,0.04540227209122731,0.48113301502558947,0.5607267073410673,0.6139534883720931,0.06635043077994,0.5557947715364397,0.6721122052077464
ADNI_A080_DS_FULL,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.7314285714285715,0.025555062599997607,0.7090285714285716,0.7538285714285715,0.47666666666666674,0.08130873945100316,0.40539641418438005,0.5479369191489534,0.46975507346078116,0.07215351848745519,0.406509725976516,0.5330004209450463,0.45066666666666666,0.11705649158514117,0.3480621278889996,0.5532712054443337
ADNI_A080_BASE,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.5561643835616439,0.05697708039201487,0.5062217705945657,0.606106996528722,0.5295348837209302,0.05637996273770844,0.480115667454765,0.5789540999870952,0.5280129230265611,0.057170082489418024,0.47790113626212233,0.5781247097909998,0.5468217054263567,0.049035526954154925,0.5038401709662074,0.589803239886506
ADNI_A080_BASE,cn_vs_ad,5,2026,2030,48,12,12,5,0.7208333333333333,0.0315953143502148,0.6931388192355719,0.7485278474310948,0.5260465116279069,0.03903237413218426,0.4918331272098617,0.5602598960459522,0.5002405531620456,0.020311506179836743,0.482436733012985,0.5180443733111063,0.4800000000000001,0.014485964188276685,0.4673024925473113,0.49269750745268887
ADNI_A080_BASE,mci_spectrum_vs_ad,5,2026,2030,35,12,12,5,0.6114285714285714,0.032576440717118245,0.5828740621524519,0.639983080704691,0.38999999999999996,0.057251880124392245,0.33981651444725836,0.44018348555274156,0.40435147211463,0.042610842219331264,0.36700142212050046,0.44170152210875957,0.2906666666666667,0.07740226812639997,0.22282058727449483,0.35851274605883854
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,5,2026,2030,73,12,12,5,0.5506849315068493,0.03270503119537895,0.5220177077068748,0.5793521553068237,0.533953488372093,0.03460656478274224,0.503619496893884,0.564287479850302,0.5334389076975887,0.03489246118080263,0.5028543169773902,0.5640234984177872,0.5570542635658915,0.046247960665885164,0.5165161386889865,0.5975923884427965
