method,task,n_subjects,n_features,n_selected_features,n_splits,classifier,feature_set,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr
T1_ONLY,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.547945205479452,0.5356589147286821,0.535390549662488,0.610077519379845
T1_ONLY,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.7291666666666666,0.49534883720930234,0.4864197530864197,0.6697674418604651
T1_ONLY,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.6571428571428571,0.38333333333333336,0.39655172413793105,0.2866666666666667
ADNI_A080_DS_FULL,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.5753424657534246,0.5589147286821705,0.5591272160529904,0.5465116279069768
ADNI_A080_DS_FULL,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.75,0.5069767441860465,0.49825783972125437,0.5116279069767442
ADNI_A080_DS_FULL,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.7142857142857143,0.4166666666666667,0.4166666666666667,0.43333333333333335
ADNI_A080_BASE,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.6027397260273972,0.592248062015504,0.5917068466730955,0.5767441860465116
ADNI_A080_BASE,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.75,0.5069767441860465,0.49825783972125437,0.4465116279069768
ADNI_A080_BASE,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.4857142857142857,0.2833333333333333,0.3269230769230769,0.18666666666666665
ADNI_OLD_FIDELITY_FLOW,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.5753424657534246,0.563953488372093,0.5635486981677917,0.5945736434108528
ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.6875,0.4720930232558139,0.4638868205510052,0.5209302325581395
ADNI_OLD_FIDELITY_FLOW,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.6571428571428571,0.38333333333333336,0.39655172413793105,0.52
ADNI_UNET,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.589041095890411,0.5705426356589147,0.5709247648902821,0.6217054263565891
ADNI_UNET,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.6041666666666666,0.4255813953488372,0.42095238095238097,0.3162790697674419
ADNI_UNET,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.5714285714285714,0.41666666666666663,0.41731409544950054,0.38
ADNI_PIX2PIX,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.6164383561643836,0.6089147286821706,0.60752688172043,0.6395348837209303
ADNI_PIX2PIX,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.7083333333333334,0.6604651162790698,0.5578947368421052,0.4558139534883721
ADNI_PIX2PIX,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.45714285714285713,0.35,0.35374149659863946,0.2533333333333333
ADNI_CYCLEGAN,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.410958904109589,0.3941860465116279,0.39459980713596915,0.39457364341085277
ADNI_CYCLEGAN,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.7083333333333334,0.5720930232558139,0.5213675213675213,0.5255813953488373
ADNI_CYCLEGAN,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.5714285714285714,0.3333333333333333,0.36363636363636365,0.2866666666666667
ADNI_DBM,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.6027397260273972,0.6023255813953488,0.5979107312440646,0.589922480620155
ADNI_DBM,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.7291666666666666,0.5837209302325581,0.5353685778108712,0.5581395348837209
ADNI_DBM,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.6,0.5166666666666666,0.47649572649572647,0.39333333333333337
ADNI_DDIM,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.6712328767123288,0.6604651162790698,0.6604651162790698,0.6829457364341086
ADNI_DDIM,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.7916666666666666,0.6186046511627907,0.5818815331010453,0.558139534883721
ADNI_DDIM,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.6,0.43333333333333335,0.43287037037037035,0.36
FA_GT,cn_vs_mci_spectrum,73,12,12,5,linear_svm,roi_mean,0.5342465753424658,0.5341085271317829,0.5299242424242424,0.6069767441860465
FA_GT,cn_vs_ad,48,12,12,5,linear_svm,roi_mean,0.75,0.5953488372093023,0.55,0.7627906976744186
FA_GT,mci_spectrum_vs_ad,35,12,12,5,linear_svm,roi_mean,0.7428571428571429,0.6000000000000001,0.5748987854251012,0.6933333333333334
