method,task,classifier,protocol,roi_resource,n_train_subjects,n_test_subjects,n_features,accuracy,balanced_accuracy,macro_f1,macro_auc,class_0_f1,class_1_f1
A080 Base,cn_vs_mci_spectrum,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.589041095890411,0.6058139534883721,0.588963963963964,0.6155038759689923,0.5945945945945946,0.5833333333333334
A080 Base,cn_vs_mci_spectrum,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.5616438356164384,0.5875968992248062,0.5609022556390977,0.6209302325581395,0.5428571428571428,0.5789473684210527
A080 Base,cn_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8958333333333334,0.7651162790697674,0.7433155080213903,0.8372093023255813,0.9411764705882353,0.5454545454545454
A080 Base,cn_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8958333333333334,0.6767441860465117,0.6934865900383141,0.8046511627906978,0.9425287356321839,0.4444444444444444
A080 Base,mci_spectrum_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.7142857142857143,0.4166666666666667,0.4166666666666667,0.5666666666666668,0.8333333333333334,0.0
A080 Base,mci_spectrum_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.8,0.4666666666666667,0.4444444444444444,0.5333333333333333,0.8888888888888888,0.0
A080+DS Full,cn_vs_mci_spectrum,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.5205479452054794,0.5375968992248061,0.5205479452054794,0.5720930232558139,0.5205479452054794,0.5205479452054794
A080+DS Full,cn_vs_mci_spectrum,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.4931506849315068,0.4992248062015504,0.49162431771127424,0.5364341085271318,0.5194805194805194,0.463768115942029
A080+DS Full,cn_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8541666666666666,0.741860465116279,0.6886005560704356,0.8465116279069768,0.9156626506024096,0.46153846153846156
A080+DS Full,cn_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.9166666666666666,0.7767441860465116,0.7767441860465116,0.8232558139534885,0.9534883720930233,0.6
A080+DS Full,mci_spectrum_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.7428571428571429,0.43333333333333335,0.4262295081967213,0.5800000000000001,0.8524590163934426,0.0
A080+DS Full,mci_spectrum_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.8285714285714286,0.48333333333333334,0.453125,0.54,0.90625,0.0
FA_GT,cn_vs_mci_spectrum,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.589041095890411,0.5906976744186047,0.5852272727272727,0.5891472868217055,0.625,0.5454545454545454
FA_GT,cn_vs_mci_spectrum,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.5753424657534246,0.5689922480620155,0.5672212660164467,0.6124031007751938,0.6265060240963856,0.5079365079365079
FA_GT,cn_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8333333333333334,0.6418604651162791,0.6190476190476191,0.827906976744186,0.9047619047619048,0.3333333333333333
FA_GT,cn_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8541666666666666,0.5651162790697675,0.5708812260536398,0.8186046511627907,0.9195402298850575,0.2222222222222222
FA_GT,mci_spectrum_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.8,0.55,0.5537340619307832,0.5866666666666667,0.8852459016393442,0.2222222222222222
FA_GT,mci_spectrum_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.7714285714285715,0.5333333333333333,0.5333333333333333,0.5133333333333333,0.8666666666666667,0.2
Old Fidelity Flow,cn_vs_mci_spectrum,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.5205479452054794,0.5375968992248061,0.5205479452054794,0.5465116279069767,0.5205479452054794,0.5205479452054794
Old Fidelity Flow,cn_vs_mci_spectrum,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.5068493150684932,0.525968992248062,0.5067567567567568,0.5294573643410853,0.5,0.5135135135135135
Old Fidelity Flow,cn_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8541666666666666,0.741860465116279,0.6886005560704356,0.827906976744186,0.9156626506024096,0.46153846153846156
Old Fidelity Flow,cn_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8958333333333334,0.7651162790697674,0.7433155080213903,0.8465116279069768,0.9411764705882353,0.5454545454545454
Old Fidelity Flow,mci_spectrum_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.7428571428571429,0.6000000000000001,0.5748987854251012,0.6333333333333333,0.8421052631578947,0.3076923076923077
Old Fidelity Flow,mci_spectrum_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.7428571428571429,0.43333333333333335,0.4262295081967213,0.6066666666666667,0.8524590163934426,0.0
T1_ONLY,cn_vs_mci_spectrum,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.589041095890411,0.5906976744186047,0.5852272727272727,0.5852713178294574,0.625,0.5454545454545454
T1_ONLY,cn_vs_mci_spectrum,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,255,73,192,0.547945205479452,0.5608527131782945,0.5476056338028169,0.568217054263566,0.56,0.5352112676056338
T1_ONLY,cn_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8541666666666666,0.6534883720930232,0.6406417112299465,0.8,0.9176470588235294,0.36363636363636365
T1_ONLY,cn_vs_ad,linear_svm,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,167,48,192,0.8333333333333334,0.6418604651162791,0.6190476190476191,0.7627906976744186,0.9047619047619048,0.3333333333333333
T1_ONLY,mci_spectrum_vs_ad,logistic,coarse_grid_roi_train_test,2x3_coarse_grid_brain_wm_mask,122,35,192,0.7714285714285715,0.6166666666666667,0.5977011494252873,0.5133333333333334,0.8620689655172413,0.3333333333333333
