method,task,mean_accuracy,mean_balanced_accuracy,mean_macro_auc,mean_macro_f1
Old Fidelity Flow,cn_vs_ad,0.875,0.7534883720930232,0.8372093023255813,0.7159580320459129
A080+DS Full,cn_vs_ad,0.8854166666666666,0.7593023255813953,0.8348837209302327,0.7326723710584736
FA_GT,cn_vs_ad,0.84375,0.6034883720930233,0.8232558139534883,0.5949644225506294
A080 Base,cn_vs_ad,0.8958333333333334,0.7209302325581395,0.8209302325581396,0.7184010490298522
T1_ONLY,cn_vs_ad,0.84375,0.6476744186046512,0.7813953488372094,0.6298446651387828
A080 Base,cn_vs_mci_spectrum,0.5753424657534247,0.5967054263565892,0.6182170542635659,0.5749331098015309
FA_GT,cn_vs_mci_spectrum,0.5821917808219178,0.57984496124031,0.6007751937984496,0.5762242693718598
T1_ONLY,cn_vs_mci_spectrum,0.5684931506849316,0.5757751937984497,0.5767441860465117,0.5664164532650449
A080+DS Full,cn_vs_mci_spectrum,0.5068493150684932,0.5184108527131783,0.5542635658914729,0.5060861314583769
Old Fidelity Flow,cn_vs_mci_spectrum,0.5136986301369864,0.531782945736434,0.537984496124031,0.5136523509811182
Old Fidelity Flow,mci_spectrum_vs_ad,0.7428571428571429,0.5166666666666667,0.62,0.5005641468109112
A080+DS Full,mci_spectrum_vs_ad,0.7857142857142858,0.45833333333333337,0.56,0.43967725409836067
A080 Base,mci_spectrum_vs_ad,0.7571428571428571,0.44166666666666665,0.55,0.4305555555555556
FA_GT,mci_spectrum_vs_ad,0.7857142857142858,0.5416666666666667,0.55,0.5435336976320583
T1_ONLY,mci_spectrum_vs_ad,0.7857142857142858,0.625,0.51,0.610098648672582
