method,task,classifier,feature,coefficient,abs_coefficient
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_p90_slice_std,-1.2991849535078155,1.2991849535078155
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c1_wm_median_slice_std,-1.0897399560407417,1.0897399560407417
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c2_brain_p10_slice_mean,-1.0896186915074564,1.0896186915074564
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_p10_slice_std,1.0636989387800002,1.0636989387800002
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_grad_mean_slice_std,1.0362283437227149,1.0362283437227149
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c0_wm_local_var_slice_mean,-1.0197689453652816,1.0197689453652816
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c0_wm_p90_slice_std,0.9934648756784518,0.9934648756784518
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c1_wm_grad_mean_slice_std,-0.9409930814336022,0.9409930814336022
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c0_wm_p90_slice_std,0.8788316012852192,0.8788316012852192
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c0_brain_p90_slice_std,-0.863308947943656,0.863308947943656
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c2_wm_grad_mean_slice_std,-0.856043569342217,0.856043569342217
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c1_brain_local_var_slice_std,-0.8432200767680733,0.8432200767680733
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c0_wm_std_slice_std,0.8119467713917833,0.8119467713917833
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c1_brain_grad_mean_slice_std,0.8115111916911264,0.8115111916911264
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c2_wm_count_slice_mean,-0.7967036272773752,0.7967036272773752
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c1_wm_p90_slice_std,0.754459366901305,0.754459366901305
A080 Base,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_std_slice_std,-0.7218832743568904,0.7218832743568904
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c2_wm_local_var_slice_mean,0.7055003870859414,0.7055003870859414
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c2_brain_mean_slice_std,0.6921969356043086,0.6921969356043086
A080 Base,cn_vs_mci_spectrum,logistic,roi_r0_c1_brain_p10_slice_std,0.69049050028815,0.69049050028815
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_brain_p10_slice_mean,-1.3111899033099594,1.3111899033099594
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_wm_median_slice_std,-1.3065999060842182,1.3065999060842182
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r0_c2_brain_mean_slice_std,1.2880978271939814,1.2880978271939814
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r1_c2_wm_grad_mean_slice_std,-1.143959744401702,1.143959744401702
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r1_c0_brain_p90_slice_std,-1.1429923080532824,1.1429923080532824
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r1_c1_wm_p90_slice_std,1.0958479288759706,1.0958479288759706
A080 Base,cn_vs_mci_spectrum,linear_svm,roi_r0_c0_wm_grad_mean_slice_mean,1.0907008338790323,1.0907008338790323
