method,classifier,max_features,rows,mean_accuracy,mean_balanced_accuracy,mean_macro_auc,mean_macro_f1
FA_GT,logistic,20,3,0.7519216133942161,0.7031007751937984,0.7244444444444446,0.6481274936609461
FA_GT,linear_svm,20,3,0.7263209393346379,0.6842377260981912,0.7166408268733849,0.6246529229079548
T1_PLUS_A080_BASE,logistic,40,3,0.6937649489019352,0.6037467700258398,0.7037726098191214,0.5653966847744959
A080 Base,linear_svm,20,3,0.7802810393563818,0.6191214470284238,0.7000516795865633,0.6268725953156825
FA_GT,logistic,40,3,0.699937486410089,0.5813953488372093,0.6962790697674418,0.5662197290042003
T1_PLUS_FA_GT,linear_svm,0,3,0.6971162209175907,0.5492248062015505,0.6955555555555556,0.5435673854405164
T1_PLUS_FA_GT,linear_svm,40,3,0.6776880843661667,0.6636950904392765,0.6928165374677002,0.5911017363802188
T1_PLUS_FA_GT,logistic,0,3,0.7012910415307676,0.5864341085271318,0.6887338501291991,0.572604407975925
T1_PLUS_A080_BASE,logistic,20,3,0.6774869536855839,0.5837209302325581,0.6873901808785531,0.5530118174855017
T1_PLUS_A080_DS,logistic,20,3,0.6679740160904544,0.5803617571059432,0.6848062015503876,0.5455363906703766
T1_PLUS_A080_BASE,linear_svm,40,3,0.7171776473146337,0.6364341085271318,0.684392764857881,0.6042860655594261
Old Fidelity Flow,logistic,20,3,0.7052756033920419,0.5930232558139535,0.6834625322997416,0.5728923018079645
A080 Base,logistic,20,3,0.7755245705588171,0.6047803617571059,0.6829974160206719,0.5786411913250148
T1_PLUS_A080_BASE,linear_svm,20,3,0.6822434224831485,0.5786821705426356,0.6817054263565892,0.5578524306003884
T1_PLUS_A080_DS,linear_svm,20,3,0.6731218743205045,0.5992248062015504,0.6803100775193798,0.5598046705680604
T1_PLUS_OLD_FLOW,logistic,40,3,0.7167862578821483,0.6125322997416021,0.6749870801033592,0.5875564830057386
T1_PLUS_FA_GT,logistic,20,3,0.6495189171559034,0.5965116279069768,0.6737467700258398,0.54879030434586
A080+DS Full,logistic,20,3,0.7449662970210915,0.5514211886304909,0.6734883720930233,0.539703076454045
A080 Base,logistic,0,3,0.7330533811698196,0.5958656330749353,0.6731266149870802,0.5829820462173404
A080+DS Full,logistic,40,3,0.7618259404218307,0.5502583979328165,0.6726614987080103,0.5406389857659014
T1_PLUS_A080_DS,logistic,40,3,0.705666992824527,0.6076227390180878,0.6704909560723514,0.5733282015173183
Old Fidelity Flow,logistic,0,3,0.7058572515764295,0.626485788113695,0.6692506459948321,0.5946824289003387
FA_GT,logistic,0,3,0.7407914764079148,0.594186046511628,0.667906976744186,0.5860029845685584
T1_PLUS_OLD_FLOW,linear_svm,40,3,0.6985214176994999,0.6231266149870801,0.66671834625323,0.5885535019946473
A080+DS Full,logistic,0,3,0.7058572515764295,0.5709302325581395,0.6662015503875969,0.5451260031575454
FA_GT,linear_svm,40,3,0.706680800173951,0.5835917312661499,0.6651162790697674,0.5699205724776142
A080+DS Full,linear_svm,20,3,0.7312676668841053,0.5313953488372093,0.6637726098191215,0.524733171929346
T1_PLUS_OLD_FLOW,linear_svm,20,3,0.6844313981300282,0.608656330749354,0.6635658914728683,0.5752988288811459
Old Fidelity Flow,logistic,40,3,0.695952924548815,0.5975452196382429,0.6635658914728683,0.5723047528603084
A080 Base,logistic,40,3,0.7566672102631008,0.5729974160206719,0.6631524547803617,0.5735591025597172
Old Fidelity Flow,linear_svm,0,3,0.7151799304196564,0.5748062015503876,0.6608785529715763,0.5587672576582895
T1_PLUS_FA_GT,logistic,40,3,0.6866302457055881,0.5987080103359174,0.6607235142118862,0.5617453522599246
T1_PLUS_FA_GT,linear_svm,20,3,0.6588415959991303,0.5970284237726098,0.6593798449612404,0.5527572597182105
T1_PLUS_OLD_FLOW,logistic,20,3,0.6800663187649488,0.608139534883721,0.6591731266149871,0.569498556998557
Old Fidelity Flow,linear_svm,20,3,0.6628152859317243,0.5618863049095607,0.6580361757105943,0.5316254745550678
A080 Base,linear_svm,0,3,0.7524923896499239,0.5770025839793281,0.6529715762273902,0.5662777633739521
T1_PLUS_A080_DS,linear_svm,40,3,0.684632528810611,0.5875968992248062,0.6514728682170543,0.5562367625710953
A080 Base,linear_svm,40,3,0.7689606436181778,0.5696382428940568,0.650749354005168,0.5877923656288506
FA_GT,linear_svm,0,3,0.7336459012828875,0.555813953488372,0.6481136950904393,0.5571452751344733
T1_ONLY,logistic,20,3,0.6332517938682322,0.5887596899224806,0.6466149870801033,0.5386771680216803
T1_PLUS_A080_BASE,linear_svm,0,3,0.7411828658404002,0.5397932816537467,0.6466149870801033,0.5227249778848616
T1_ONLY,linear_svm,20,3,0.6381985214176995,0.5781653746770026,0.637157622739018,0.5328201571108743
A080+DS Full,linear_svm,0,3,0.7461295933898674,0.5864341085271317,0.6332299741602068,0.5738311679192619
Old Fidelity Flow,linear_svm,40,3,0.667571754729289,0.5669250645994832,0.6331266149870801,0.5437142574245927
T1_ONLY,logistic,0,3,0.7382121113285497,0.6202842377260982,0.6328682170542637,0.6078567111275022
A080+DS Full,linear_svm,40,3,0.7916014350945858,0.57015503875969,0.6312144702842377,0.565471681096681
T1_PLUS_OLD_FLOW,linear_svm,0,3,0.7163649706457925,0.5948320413436693,0.6311627906976746,0.5864797768708493
T1_PLUS_OLD_FLOW,logistic,0,3,0.7554631441617743,0.658139534883721,0.630749354005168,0.6432278297032396
T1_PLUS_A080_BASE,logistic,0,3,0.7574499891280713,0.5770025839793281,0.6290956072351422,0.5647390746137103
T1_PLUS_A080_DS,linear_svm,0,3,0.7278756251358991,0.525968992248062,0.6274935400516796,0.5015767384855122
T1_ONLY,logistic,40,3,0.6423624701021962,0.5542635658914729,0.6192764857881138,0.5252525252525252
T1_ONLY,linear_svm,0,3,0.7270928462709284,0.612015503875969,0.6125581395348837,0.5963831335901042
T1_PLUS_A080_DS,logistic,0,3,0.7318493150684932,0.5270025839793281,0.6122997416020671,0.518633826853005
T1_ONLY,linear_svm,40,3,0.6610186997173298,0.5397932816537468,0.5992248062015504,0.5162032169890665
