method,task,classifier,max_features,n_features,n_selected_features,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_auc,macro_f1
T1_PLUS_FA_GT,cn_vs_ad,linear_svm,0,384,384,167,48,0.8541666666666666,0.5651162790697675,0.9116279069767442,0.5708812260536398
T1_PLUS_OLD_FLOW,cn_vs_ad,logistic,0,384,384,167,48,0.875,0.7534883720930232,0.8604651162790697,0.7142857142857143
T1_PLUS_A080_BASE,cn_vs_ad,logistic,0,384,384,167,48,0.8958333333333334,0.6767441860465117,0.8465116279069769,0.6934865900383141
A080+DS Full,cn_vs_ad,logistic,0,192,192,167,48,0.8541666666666666,0.741860465116279,0.8465116279069768,0.6886005560704356
Old Fidelity Flow,cn_vs_ad,linear_svm,0,192,192,167,48,0.8958333333333334,0.7651162790697674,0.8465116279069768,0.7433155080213903
A080 Base,cn_vs_ad,logistic,0,192,192,167,48,0.8958333333333334,0.7651162790697674,0.8372093023255813,0.7433155080213903
T1_PLUS_A080_DS,cn_vs_ad,linear_svm,0,384,384,167,48,0.8333333333333334,0.5534883720930233,0.8372093023255813,0.5534883720930233
FA_GT,cn_vs_ad,linear_svm,20,192,20,167,48,0.75,0.772093023255814,0.827906976744186,0.6210526315789473
T1_ONLY,cn_vs_ad,logistic,0,192,192,167,48,0.8541666666666666,0.6534883720930232,0.8,0.6406417112299465
A080 Base,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.6438356164383562,0.6775193798449612,0.6968992248062016,0.642156862745098
A080+DS Full,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.6301369863013698,0.6507751937984496,0.6914728682170542,0.6301369863013698
FA_GT,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.684931506849315,0.6821705426356589,0.6713178294573644,0.6789061005928476
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.6027397260273972,0.6073643410852714,0.6573643410852713,0.6000377857547705
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.5753424657534246,0.6042635658914729,0.6527131782945736,0.5740636175418784
Old Fidelity Flow,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.6027397260273972,0.6023255813953488,0.6511627906976745,0.5979107312440646
T1_PLUS_FA_GT,cn_vs_mci_spectrum,logistic,20,384,20,255,73,0.5753424657534246,0.5740310077519379,0.6403100775193798,0.5701804368471035
T1_PLUS_A080_DS,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.5616438356164384,0.5875968992248062,0.6333333333333333,0.5609022556390977
T1_ONLY,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.589041095890411,0.5856589147286821,0.5914728682170542,0.5826981707317074
T1_PLUS_A080_DS,mci_spectrum_vs_ad,linear_svm,20,384,20,122,35,0.7142857142857143,0.5833333333333334,0.7533333333333333,0.5535714285714286
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,logistic,20,384,20,122,35,0.6857142857142857,0.4833333333333334,0.7133333333333334,0.48043184885290147
FA_GT,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.8,0.6333333333333333,0.7066666666666668,0.6224961479198767
Old Fidelity Flow,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.7142857142857143,0.5833333333333334,0.7,0.5535714285714286
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,linear_svm,20,384,20,122,35,0.6857142857142857,0.5666666666666667,0.7,0.5333333333333333
T1_ONLY,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.6857142857142857,0.5666666666666667,0.66,0.5333333333333333
T1_PLUS_FA_GT,mci_spectrum_vs_ad,logistic,20,384,20,122,35,0.6857142857142857,0.5666666666666667,0.66,0.5333333333333333
A080 Base,mci_spectrum_vs_ad,linear_svm,20,192,20,122,35,0.8285714285714286,0.5666666666666667,0.6466666666666667,0.5766129032258065
A080+DS Full,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.7714285714285715,0.45,0.6266666666666667,0.43548387096774194
