method,task,classifier,max_features,n_features,n_selected_features,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_auc,macro_f1
A080 Base,cn_vs_mci_spectrum,logistic,0,192,192,255,73,0.589041095890411,0.6058139534883721,0.6155038759689923,0.588963963963964
A080 Base,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.6438356164383562,0.6775193798449612,0.6968992248062016,0.642156862745098
A080 Base,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.6027397260273972,0.592248062015504,0.662015503875969,0.5917068466730955
A080 Base,cn_vs_mci_spectrum,linear_svm,0,192,192,255,73,0.5616438356164384,0.5875968992248062,0.6209302325581395,0.5609022556390977
A080 Base,cn_vs_mci_spectrum,linear_svm,20,192,20,255,73,0.6164383561643836,0.613953488372093,0.6627906976744187,0.6105182926829269
A080 Base,cn_vs_mci_spectrum,linear_svm,40,192,40,255,73,0.5616438356164384,0.5422480620155039,0.662015503875969,0.542319749216301
A080 Base,cn_vs_ad,logistic,0,192,192,167,48,0.8958333333333334,0.7651162790697674,0.8372093023255813,0.7433155080213903
A080 Base,cn_vs_ad,logistic,20,192,20,167,48,0.8541666666666666,0.6534883720930232,0.772093023255814,0.6406417112299465
A080 Base,cn_vs_ad,logistic,40,192,40,167,48,0.8958333333333334,0.6767441860465117,0.7674418604651163,0.6934865900383141
A080 Base,cn_vs_ad,linear_svm,0,192,192,167,48,0.8958333333333334,0.6767441860465117,0.8046511627906978,0.6934865900383141
A080 Base,cn_vs_ad,linear_svm,20,192,20,167,48,0.8958333333333334,0.6767441860465117,0.7906976744186047,0.6934865900383141
A080 Base,cn_vs_ad,linear_svm,40,192,40,167,48,0.9166666666666666,0.6,0.7302325581395349,0.6444444444444445
A080 Base,mci_spectrum_vs_ad,logistic,0,192,192,122,35,0.7142857142857143,0.4166666666666667,0.5666666666666668,0.4166666666666667
A080 Base,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.8285714285714286,0.48333333333333334,0.58,0.453125
A080 Base,mci_spectrum_vs_ad,logistic,40,192,40,122,35,0.7714285714285715,0.45,0.5599999999999999,0.43548387096774194
A080 Base,mci_spectrum_vs_ad,linear_svm,0,192,192,122,35,0.8,0.4666666666666667,0.5333333333333333,0.4444444444444444
A080 Base,mci_spectrum_vs_ad,linear_svm,20,192,20,122,35,0.8285714285714286,0.5666666666666667,0.6466666666666667,0.5766129032258065
A080 Base,mci_spectrum_vs_ad,linear_svm,40,192,40,122,35,0.8285714285714286,0.5666666666666667,0.56,0.5766129032258065
A080+DS Full,cn_vs_mci_spectrum,logistic,0,192,192,255,73,0.5205479452054794,0.5375968992248061,0.5720930232558139,0.5205479452054794
A080+DS Full,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.6301369863013698,0.6507751937984496,0.6914728682170542,0.6301369863013698
A080+DS Full,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.6027397260273972,0.6023255813953488,0.689922480620155,0.5979107312440646
A080+DS Full,cn_vs_mci_spectrum,linear_svm,0,192,192,255,73,0.4931506849315068,0.4992248062015504,0.5364341085271318,0.49162431771127424
A080+DS Full,cn_vs_mci_spectrum,linear_svm,20,192,20,255,73,0.589041095890411,0.5906976744186047,0.6503875968992249,0.5852272727272727
A080+DS Full,cn_vs_mci_spectrum,linear_svm,40,192,40,255,73,0.6712328767123288,0.6503875968992248,0.6348837209302326,0.6523809523809523
A080+DS Full,cn_vs_ad,logistic,0,192,192,167,48,0.8541666666666666,0.741860465116279,0.8465116279069768,0.6886005560704356
A080+DS Full,cn_vs_ad,logistic,20,192,20,167,48,0.8333333333333334,0.5534883720930233,0.7023255813953488,0.5534883720930233
A080+DS Full,cn_vs_ad,logistic,40,192,40,167,48,0.8541666666666666,0.5651162790697675,0.7813953488372093,0.5708812260536398
A080+DS Full,cn_vs_ad,linear_svm,0,192,192,167,48,0.9166666666666666,0.7767441860465116,0.8232558139534885,0.7767441860465116
A080+DS Full,cn_vs_ad,linear_svm,20,192,20,167,48,0.8333333333333334,0.5534883720930233,0.7209302325581395,0.5534883720930233
A080+DS Full,cn_vs_ad,linear_svm,40,192,40,167,48,0.875,0.5767441860465117,0.7720930232558139,0.5909090909090908
A080+DS Full,mci_spectrum_vs_ad,logistic,0,192,192,122,35,0.7428571428571429,0.43333333333333335,0.5800000000000001,0.4262295081967213
A080+DS Full,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.7714285714285715,0.45,0.6266666666666667,0.43548387096774194
A080+DS Full,mci_spectrum_vs_ad,logistic,40,192,40,122,35,0.8285714285714286,0.48333333333333334,0.5466666666666666,0.453125
A080+DS Full,mci_spectrum_vs_ad,linear_svm,0,192,192,122,35,0.8285714285714286,0.48333333333333334,0.54,0.453125
A080+DS Full,mci_spectrum_vs_ad,linear_svm,20,192,20,122,35,0.7714285714285715,0.45,0.62,0.43548387096774194
A080+DS Full,mci_spectrum_vs_ad,linear_svm,40,192,40,122,35,0.8285714285714286,0.48333333333333334,0.4866666666666667,0.453125
FA_GT,cn_vs_mci_spectrum,logistic,0,192,192,255,73,0.589041095890411,0.5906976744186047,0.5891472868217055,0.5852272727272727
FA_GT,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.684931506849315,0.6922480620155038,0.6527131782945738,0.6827885887020593
FA_GT,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.684931506849315,0.6821705426356589,0.6713178294573644,0.6789061005928476
FA_GT,cn_vs_mci_spectrum,linear_svm,0,192,192,255,73,0.5753424657534246,0.5689922480620155,0.6124031007751938,0.5672212660164467
FA_GT,cn_vs_mci_spectrum,linear_svm,20,192,20,255,73,0.6575342465753424,0.663953488372093,0.662015503875969,0.6552049877196298
FA_GT,cn_vs_mci_spectrum,linear_svm,40,192,40,255,73,0.6712328767123288,0.6655038759689922,0.6511627906976745,0.663594470046083
FA_GT,cn_vs_ad,logistic,0,192,192,167,48,0.8333333333333334,0.6418604651162791,0.827906976744186,0.6190476190476191
FA_GT,cn_vs_ad,logistic,20,192,20,167,48,0.7708333333333334,0.7837209302325582,0.813953488372093,0.6390977443609023
FA_GT,cn_vs_ad,logistic,40,192,40,167,48,0.7291666666666666,0.49534883720930234,0.7441860465116279,0.4864197530864197
FA_GT,cn_vs_ad,linear_svm,0,192,192,167,48,0.8541666666666666,0.5651162790697675,0.8186046511627907,0.5708812260536398
FA_GT,cn_vs_ad,linear_svm,20,192,20,167,48,0.75,0.772093023255814,0.827906976744186,0.6210526315789473
FA_GT,cn_vs_ad,linear_svm,40,192,40,167,48,0.7916666666666666,0.6186046511627907,0.7441860465116279,0.5818815331010453
FA_GT,mci_spectrum_vs_ad,logistic,0,192,192,122,35,0.8,0.55,0.5866666666666667,0.5537340619307832
FA_GT,mci_spectrum_vs_ad,logistic,20,192,20,122,35,0.8,0.6333333333333333,0.7066666666666668,0.6224961479198767
FA_GT,mci_spectrum_vs_ad,logistic,40,192,40,122,35,0.6857142857142857,0.5666666666666667,0.6733333333333333,0.5333333333333333
FA_GT,mci_spectrum_vs_ad,linear_svm,0,192,192,122,35,0.7714285714285715,0.5333333333333333,0.5133333333333333,0.5333333333333333
FA_GT,mci_spectrum_vs_ad,linear_svm,20,192,20,122,35,0.7714285714285715,0.6166666666666667,0.66,0.5977011494252873
FA_GT,mci_spectrum_vs_ad,linear_svm,40,192,40,122,35,0.6571428571428571,0.4666666666666667,0.6,0.4642857142857143
Old Fidelity Flow,cn_vs_mci_spectrum,logistic,0,192,192,255,73,0.5205479452054794,0.5375968992248061,0.5465116279069767,0.5205479452054794
Old Fidelity Flow,cn_vs_mci_spectrum,logistic,20,192,20,255,73,0.589041095890411,0.5655038759689923,0.6201550387596899,0.5654761904761905
Old Fidelity Flow,cn_vs_mci_spectrum,logistic,40,192,40,255,73,0.6027397260273972,0.6023255813953488,0.6511627906976745,0.5979107312440646
Old Fidelity Flow,cn_vs_mci_spectrum,linear_svm,0,192,192,255,73,0.5068493150684932,0.525968992248062,0.5294573643410853,0.5067567567567568
Old Fidelity Flow,cn_vs_mci_spectrum,linear_svm,20,192,20,255,73,0.589041095890411,0.5453488372093023,0.5891472868217054,0.534438775510204
