method,classifier,max_features,rows,mean_accuracy,mean_balanced_accuracy,mean_macro_auc,mean_macro_f1
FA_GT,rbf_svm,20,3,0.7398184387910415,0.6580103359173127,0.7466666666666667,0.6229769721047073
FA_GT,rbf_svm,40,3,0.7138263752989781,0.6741602067183462,0.7103875968992247,0.6185762101964593
Old Fidelity Flow,rbf_svm,20,3,0.718974233529028,0.6080103359173127,0.7066666666666667,0.5882244054753727
Old Fidelity Flow,rbf_svm,40,3,0.7284980430528375,0.6135658914728682,0.6869250645994832,0.5953335244265969
A080+DS Full,rbf_svm,20,3,0.7542889758643184,0.5502583979328165,0.6848062015503876,0.5470078098161589
A080 Base,rbf_svm,20,3,0.7822678843226788,0.591860465116279,0.6796382428940569,0.597194055631857
T1_PLUS_FA_GT,rbf_svm,40,3,0.7356327462491846,0.5596899224806201,0.6706459948320412,0.5569462916080308
A080 Base,rbf_svm,40,3,0.7707572298325723,0.584108527131783,0.6670284237726097,0.5818193054010629
T1_PLUS_A080_DS,rbf_svm,40,3,0.7407914764079148,0.5958656330749355,0.6659948320413437,0.5866285844588641
T1_PLUS_A080_BASE,rbf_svm,40,3,0.766392150467493,0.5886304909560723,0.6610335917312661,0.5698520616380524
A080+DS Full,rbf_svm,40,3,0.7542889758643184,0.548578811369509,0.6518346253229974,0.5464239165852068
T1_PLUS_OLD_FLOW,rbf_svm,40,3,0.7568683409436834,0.6058139534883721,0.6463565891472868,0.6016313552812189
T1_PLUS_A080_DS,rbf_svm,20,3,0.7126114372689716,0.5736434108527132,0.6395865633074935,0.5637537603639299
T1_PLUS_A080_BASE,rbf_svm,20,3,0.7104234616220918,0.5697674418604651,0.6240310077519379,0.5624436325832138
T1_ONLY,rbf_svm,40,3,0.7473445314198739,0.5724806201550388,0.6205167958656331,0.5622146249602051
T1_ONLY,rbf_svm,20,3,0.707653837790824,0.5736434108527132,0.6033074935400516,0.5628760802005229
T1_PLUS_OLD_FLOW,rbf_svm,20,3,0.7356327462491846,0.587467700258398,0.6004134366925066,0.586415757031928
T1_PLUS_FA_GT,rbf_svm,20,3,0.7398075668623614,0.5968992248062016,0.5885788113695091,0.5951021330520079
