method,task,classifier,max_features,n_features,n_selected_features,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_auc,macro_f1
A080 Base,cn_vs_mci_spectrum,rbf_svm,20,192,20,255,73,0.6301369863013698,0.6205426356589148,0.6961240310077519,0.6198649951783992
A080 Base,cn_vs_mci_spectrum,rbf_svm,40,192,40,255,73,0.6164383561643836,0.6089147286821706,0.6984496124031008,0.60752688172043
A080 Base,cn_vs_ad,rbf_svm,20,192,20,167,48,0.9166666666666666,0.6883720930232557,0.7627906976744185,0.7272727272727273
A080 Base,cn_vs_ad,rbf_svm,40,192,40,167,48,0.8958333333333334,0.6767441860465117,0.8093023255813954,0.6934865900383141
A080 Base,mci_spectrum_vs_ad,rbf_svm,20,192,20,122,35,0.8,0.4666666666666667,0.5800000000000001,0.4444444444444444
A080 Base,mci_spectrum_vs_ad,rbf_svm,40,192,40,122,35,0.8,0.4666666666666667,0.4933333333333333,0.4444444444444444
A080+DS Full,cn_vs_mci_spectrum,rbf_svm,20,192,20,255,73,0.6164383561643836,0.624031007751938,0.6930232558139535,0.6146304675716441
A080+DS Full,cn_vs_mci_spectrum,rbf_svm,40,192,40,255,73,0.6164383561643836,0.6189922480620155,0.7007751937984495,0.6128787878787879
A080+DS Full,cn_vs_ad,rbf_svm,20,192,20,167,48,0.875,0.5767441860465117,0.7813953488372094,0.5909090909090908
A080+DS Full,cn_vs_ad,rbf_svm,40,192,40,167,48,0.875,0.5767441860465117,0.7813953488372093,0.5909090909090908
A080+DS Full,mci_spectrum_vs_ad,rbf_svm,20,192,20,122,35,0.7714285714285715,0.45,0.5800000000000001,0.43548387096774194
A080+DS Full,mci_spectrum_vs_ad,rbf_svm,40,192,40,122,35,0.7714285714285715,0.45,0.4733333333333333,0.43548387096774194
FA_GT,cn_vs_mci_spectrum,rbf_svm,20,192,20,255,73,0.684931506849315,0.6670542635658915,0.7054263565891474,0.6690321308890204
FA_GT,cn_vs_mci_spectrum,rbf_svm,40,192,40,255,73,0.684931506849315,0.6771317829457364,0.7131782945736433,0.6761812921890067
FA_GT,cn_vs_ad,rbf_svm,20,192,20,167,48,0.7916666666666666,0.7069767441860465,0.827906976744186,0.625
FA_GT,cn_vs_ad,rbf_svm,40,192,40,167,48,0.7708333333333334,0.6953488372093023,0.8046511627906977,0.6068503350707372
FA_GT,mci_spectrum_vs_ad,rbf_svm,20,192,20,122,35,0.7428571428571429,0.6000000000000001,0.7066666666666668,0.5748987854251012
FA_GT,mci_spectrum_vs_ad,rbf_svm,40,192,40,122,35,0.6857142857142857,0.6499999999999999,0.6133333333333334,0.5726970033296338
Old Fidelity Flow,cn_vs_mci_spectrum,rbf_svm,20,192,20,255,73,0.6301369863013698,0.6104651162790697,0.6666666666666666,0.6114725014784151
Old Fidelity Flow,cn_vs_mci_spectrum,rbf_svm,40,192,40,255,73,0.6301369863013698,0.6104651162790697,0.6713178294573644,0.6114725014784151
Old Fidelity Flow,cn_vs_ad,rbf_svm,20,192,20,167,48,0.8125,0.6302325581395349,0.8,0.5996292863762743
Old Fidelity Flow,cn_vs_ad,rbf_svm,40,192,40,167,48,0.8125,0.6302325581395349,0.7627906976744185,0.5996292863762743
Old Fidelity Flow,mci_spectrum_vs_ad,rbf_svm,20,192,20,122,35,0.7142857142857143,0.5833333333333334,0.6533333333333333,0.5535714285714286
Old Fidelity Flow,mci_spectrum_vs_ad,rbf_svm,40,192,40,122,35,0.7428571428571429,0.6000000000000001,0.6266666666666667,0.5748987854251012
T1_ONLY,cn_vs_mci_spectrum,rbf_svm,20,192,20,255,73,0.5753424657534246,0.5790697674418605,0.6093023255813954,0.5724541847723408
T1_ONLY,cn_vs_mci_spectrum,rbf_svm,40,192,40,255,73,0.6164383561643836,0.613953488372093,0.6023255813953489,0.6105182926829269
T1_ONLY,cn_vs_ad,rbf_svm,20,192,20,167,48,0.8333333333333334,0.6418604651162791,0.6139534883720931,0.6190476190476191
T1_ONLY,cn_vs_ad,rbf_svm,40,192,40,167,48,0.8541666666666666,0.6534883720930232,0.6325581395348837,0.6406417112299465
T1_ONLY,mci_spectrum_vs_ad,rbf_svm,20,192,20,122,35,0.7142857142857143,0.5,0.5866666666666667,0.49712643678160917
T1_ONLY,mci_spectrum_vs_ad,rbf_svm,40,192,40,122,35,0.7714285714285715,0.45,0.6266666666666668,0.43548387096774194
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,rbf_svm,20,384,20,255,73,0.5342465753424658,0.5391472868217054,0.6294573643410852,0.532051282051282
T1_PLUS_A080_BASE,cn_vs_mci_spectrum,rbf_svm,40,384,40,255,73,0.6164383561643836,0.6290697674418604,0.6666666666666666,0.6157894736842104
T1_PLUS_A080_BASE,cn_vs_ad,rbf_svm,20,384,20,167,48,0.8541666666666666,0.6534883720930232,0.6093023255813953,0.6406417112299465
T1_PLUS_A080_BASE,cn_vs_ad,rbf_svm,40,384,40,167,48,0.8541666666666666,0.6534883720930232,0.6697674418604651,0.6406417112299465
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,rbf_svm,20,384,20,122,35,0.7428571428571429,0.5166666666666667,0.6333333333333333,0.514637904468413
T1_PLUS_A080_BASE,mci_spectrum_vs_ad,rbf_svm,40,384,40,122,35,0.8285714285714286,0.48333333333333334,0.6466666666666666,0.453125
T1_PLUS_A080_DS,cn_vs_mci_spectrum,rbf_svm,20,384,20,255,73,0.5616438356164384,0.5624031007751937,0.5976744186046512,0.5575757575757576
T1_PLUS_A080_DS,cn_vs_mci_spectrum,rbf_svm,40,384,40,255,73,0.589041095890411,0.5957364341085272,0.6534883720930232,0.5871040723981901
T1_PLUS_A080_DS,cn_vs_ad,rbf_svm,20,384,20,167,48,0.8333333333333334,0.6418604651162791,0.6744186046511628,0.6190476190476191
T1_PLUS_A080_DS,cn_vs_ad,rbf_svm,40,384,40,167,48,0.8333333333333334,0.6418604651162791,0.6511627906976744,0.6190476190476191
T1_PLUS_A080_DS,mci_spectrum_vs_ad,rbf_svm,20,384,20,122,35,0.7428571428571429,0.5166666666666667,0.6466666666666667,0.514637904468413
T1_PLUS_A080_DS,mci_spectrum_vs_ad,rbf_svm,40,384,40,122,35,0.8,0.55,0.6933333333333332,0.5537340619307832
T1_PLUS_FA_GT,cn_vs_mci_spectrum,rbf_svm,20,384,20,255,73,0.6301369863013698,0.6255813953488372,0.6162790697674418,0.6230636833046471
T1_PLUS_FA_GT,cn_vs_mci_spectrum,rbf_svm,40,384,40,255,73,0.589041095890411,0.5806201550387597,0.6627906976744186,0.5794930875576036
T1_PLUS_FA_GT,cn_vs_ad,rbf_svm,20,384,20,167,48,0.875,0.6651162790697674,0.5627906976744187,0.6651162790697674
T1_PLUS_FA_GT,cn_vs_ad,rbf_svm,40,384,40,167,48,0.875,0.6651162790697674,0.6558139534883721,0.6651162790697674
T1_PLUS_FA_GT,mci_spectrum_vs_ad,rbf_svm,20,384,20,122,35,0.7142857142857143,0.5,0.5866666666666667,0.49712643678160917
T1_PLUS_FA_GT,mci_spectrum_vs_ad,rbf_svm,40,384,40,122,35,0.7428571428571429,0.43333333333333335,0.6933333333333332,0.4262295081967213
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,rbf_svm,20,384,20,255,73,0.589041095890411,0.5806201550387597,0.6077519379844962,0.5794930875576036
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,rbf_svm,40,384,40,255,73,0.6164383561643836,0.613953488372093,0.6883720930232559,0.6105182926829269
T1_PLUS_OLD_FLOW,cn_vs_ad,rbf_svm,20,384,20,167,48,0.875,0.6651162790697674,0.5534883720930233,0.6651162790697674
T1_PLUS_OLD_FLOW,cn_vs_ad,rbf_svm,40,384,40,167,48,0.8541666666666666,0.6534883720930232,0.5906976744186047,0.6406417112299465
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,rbf_svm,20,384,20,122,35,0.7428571428571429,0.5166666666666667,0.64,0.514637904468413
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,rbf_svm,40,384,40,122,35,0.8,0.55,0.6599999999999999,0.5537340619307832
