method,task,protocol,classifier,feature_set,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,n_features,n_selected_features,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,epochs,seed
CycleGAN,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.7894736842105263,0.7681159420289855,0.7738095238095238,0.7420289855072464,80.0,2026.0
FA_GT,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.6052631578947368,0.5463768115942029,0.5324036095159967,0.5942028985507246,80.0,2026.0
FIDELITY_FLOW,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.6578947368421053,0.6014492753623188,0.5947497949138638,0.6608695652173914,80.0,2026.0
PRIVATE_DS_HYBRID,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.6578947368421053,0.5898550724637681,0.5722943722943723,0.6811594202898551,80.0,2026.0
Pix2Pix,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.631578947368421,0.5565217391304348,0.525,0.6869565217391305,80.0,2026.0
T1_ONLY,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.7631578947368421,0.7347826086956522,0.7414965986394557,0.7652173913043477,80.0,2026.0
UNet,cn_scd_vs_mci_ad,attention_mil,attention_mil,roi_mean,173,38,8650,1900,159,159,0.631578947368421,0.5797101449275363,0.5737179487179487,0.672463768115942,80.0,2026.0
CycleGAN,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.631578947368421,0.6492753623188405,0.6305555555555555,0.7188405797101449,80.0,2026.0
FA_GT,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.5789473684210527,0.5246376811594203,0.5128205128205128,0.48695652173913045,80.0,2026.0
FIDELITY_FLOW,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.6842105263157895,0.6579710144927536,0.6607142857142857,0.7304347826086957,80.0,2026.0
PRIVATE_DS_HYBRID,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.6578947368421053,0.636231884057971,0.6375641966250918,0.6434782608695653,80.0,2026.0
Pix2Pix,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.5263157894736842,0.5623188405797102,0.525,0.6434782608695652,80.0,2026.0
T1_ONLY,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.6842105263157895,0.7043478260869566,0.6833333333333333,0.7623188405797101,80.0,2026.0
UNet,cn_scd_vs_mci_ad,multi_task_mil,multi_task_mil,roi_mean,173,38,8650,1900,159,159,0.6052631578947368,0.5811594202898551,0.5818048422597212,0.6521739130434783,80.0,2026.0
CycleGAN,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.6052631578947368,0.6159420289855072,0.602787456445993,0.6550724637681159,,
FA_GT,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.5789473684210527,0.5594202898550724,0.5594202898550724,0.6289855072463768,,
FIDELITY_FLOW,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.631578947368421,0.6028985507246376,0.6041666666666667,0.6405797101449275,,
PRIVATE_DS_HYBRID,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.6578947368421053,0.636231884057971,0.6375641966250918,0.6260869565217391,,
Pix2Pix,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.6578947368421053,0.6478260869565218,0.6458781362007169,0.6782608695652174,,
T1_ONLY,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.5263157894736842,0.5391304347826087,0.525,0.6666666666666667,,
UNet,cn_scd_vs_mci_ad,slice_svm_vote,linear_svm,roi_mean,173,38,8650,1900,159,159,0.6578947368421053,0.636231884057971,0.6375641966250918,0.6782608695652174,,
CycleGAN,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.7352941176470588,80.0,2026.0
FA_GT,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.8088235294117647,80.0,2026.0
FIDELITY_FLOW,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7205882352941176,80.0,2026.0
PRIVATE_DS_HYBRID,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.676470588235294,80.0,2026.0
Pix2Pix,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.42857142857142855,0.5514705882352942,0.41666666666666663,0.7941176470588235,80.0,2026.0
T1_ONLY,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.47619047619047616,0.5808823529411764,0.4564705882352942,0.7794117647058824,80.0,2026.0
UNet,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.42857142857142855,0.6470588235294118,0.42727272727272725,0.7941176470588235,80.0,2026.0
CycleGAN,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.7279411764705883,0.65,0.75,80.0,2026.0
FA_GT,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.6470588235294118,80.0,2026.0
FIDELITY_FLOW,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.7352941176470588,80.0,2026.0
PRIVATE_DS_HYBRID,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.6911764705882353,80.0,2026.0
Pix2Pix,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.7279411764705883,0.65,0.7058823529411764,80.0,2026.0
T1_ONLY,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7647058823529411,80.0,2026.0
UNet,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.75,80.0,2026.0
CycleGAN,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7352941176470588,,
FA_GT,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.8088235294117647,,
FIDELITY_FLOW,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.6911764705882353,,
PRIVATE_DS_HYBRID,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.6617647058823529,,
Pix2Pix,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.8095238095238095,0.7867647058823529,0.7375,0.7647058823529411,,
T1_ONLY,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7142857142857143,0.7279411764705883,0.65,0.75,,
UNet,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.7499999999999999,,
CycleGAN,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.6666666666666666,0.5340909090909092,0.5341614906832298,0.5909090909090908,80.0,2026.0
FA_GT,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.7333333333333333,0.5795454545454546,0.5833333333333334,0.5909090909090909,80.0,2026.0
FIDELITY_FLOW,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.7333333333333333,0.6590909090909092,0.6590909090909092,0.7045454545454545,80.0,2026.0
PRIVATE_DS_HYBRID,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.7333333333333333,0.5795454545454546,0.5833333333333334,0.7045454545454545,80.0,2026.0
Pix2Pix,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.7333333333333333,0.7386363636363636,0.7,0.7727272727272727,80.0,2026.0
T1_ONLY,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.8,0.7840909090909092,0.7619047619047619,0.7727272727272727,80.0,2026.0
UNet,mci_vs_ad,attention_mil,attention_mil,roi_mean,70,15,3500,750,159,159,0.6,0.6477272727272727,0.5833333333333333,0.7272727272727273,80.0,2026.0
CycleGAN,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.6,0.6477272727272727,0.5833333333333333,0.6363636363636364,80.0,2026.0
FA_GT,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.8,0.625,0.64,0.7954545454545454,80.0,2026.0
FIDELITY_FLOW,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.7333333333333333,0.6590909090909092,0.6590909090909092,0.6136363636363636,80.0,2026.0
PRIVATE_DS_HYBRID,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.5333333333333333,0.4431818181818182,0.4444444444444444,0.5454545454545454,80.0,2026.0
Pix2Pix,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.6666666666666666,0.6931818181818181,0.6411483253588517,0.6818181818181818,80.0,2026.0
T1_ONLY,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.6666666666666666,0.6931818181818181,0.6411483253588517,0.6363636363636364,80.0,2026.0
UNet,mci_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,15,8650,1900,159,159,0.8,0.7045454545454546,0.7204968944099379,0.6590909090909091,80.0,2026.0
CycleGAN,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.6666666666666666,0.6136363636363636,0.6031746031746031,0.6136363636363636,,
FA_GT,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.7333333333333333,0.6590909090909092,0.6590909090909092,0.6136363636363636,,
FIDELITY_FLOW,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.6666666666666666,0.6136363636363636,0.6031746031746031,0.6363636363636364,,
PRIVATE_DS_HYBRID,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.7333333333333333,0.6590909090909092,0.6590909090909092,0.6136363636363636,,
Pix2Pix,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.6666666666666666,0.6136363636363636,0.6031746031746031,0.6590909090909091,,
T1_ONLY,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.6,0.48863636363636365,0.48863636363636365,0.6590909090909092,,
UNet,mci_vs_ad,slice_svm_vote,linear_svm,roi_mean,70,15,3500,750,159,159,0.6666666666666666,0.6136363636363636,0.6031746031746031,0.6818181818181819,,
