method,protocol,task,class_label,f1,n_subject_rows
CycleGAN,attention_mil,cn_scd_vs_mci_ad,0,0.8333333333333334,38
CycleGAN,attention_mil,cn_scd_vs_mci_ad,1,0.7142857142857143,38
CycleGAN,attention_mil,cn_vs_ad,0,0.9090909090909091,21
CycleGAN,attention_mil,cn_vs_ad,1,0.6666666666666666,21
CycleGAN,attention_mil,mci_vs_ad,0,0.782608695652174,15
CycleGAN,attention_mil,mci_vs_ad,1,0.2857142857142857,15
CycleGAN,multi_task_mil,cn_scd_vs_mci_ad,0,0.65,38
CycleGAN,multi_task_mil,cn_scd_vs_mci_ad,1,0.6111111111111112,38
CycleGAN,multi_task_mil,cn_vs_ad,0,0.8,21
CycleGAN,multi_task_mil,cn_vs_ad,1,0.5,21
CycleGAN,multi_task_mil,mci_vs_ad,0,0.6666666666666666,15
CycleGAN,multi_task_mil,mci_vs_ad,1,0.5,15
CycleGAN,slice_svm_vote,cn_scd_vs_mci_ad,0,0.6341463414634146,38
CycleGAN,slice_svm_vote,cn_scd_vs_mci_ad,1,0.5714285714285714,38
CycleGAN,slice_svm_vote,cn_vs_ad,0,0.8387096774193549,21
CycleGAN,slice_svm_vote,cn_vs_ad,1,0.5454545454545454,21
CycleGAN,slice_svm_vote,mci_vs_ad,0,0.7619047619047619,15
CycleGAN,slice_svm_vote,mci_vs_ad,1,0.4444444444444444,15
FA_GT,attention_mil,cn_scd_vs_mci_ad,0,0.7169811320754716,38
FA_GT,attention_mil,cn_scd_vs_mci_ad,1,0.34782608695652173,38
FA_GT,attention_mil,cn_vs_ad,0,0.7586206896551724,21
FA_GT,attention_mil,cn_vs_ad,1,0.46153846153846156,21
FA_GT,attention_mil,mci_vs_ad,0,0.8333333333333334,15
FA_GT,attention_mil,mci_vs_ad,1,0.3333333333333333,15
FA_GT,multi_task_mil,cn_scd_vs_mci_ad,0,0.6923076923076923,38
FA_GT,multi_task_mil,cn_scd_vs_mci_ad,1,0.3333333333333333,38
FA_GT,multi_task_mil,cn_vs_ad,0,0.8823529411764706,21
FA_GT,multi_task_mil,cn_vs_ad,1,0.5,21
FA_GT,multi_task_mil,mci_vs_ad,0,0.88,15
FA_GT,multi_task_mil,mci_vs_ad,1,0.4,15
FA_GT,slice_svm_vote,cn_scd_vs_mci_ad,0,0.6521739130434783,38
FA_GT,slice_svm_vote,cn_scd_vs_mci_ad,1,0.4666666666666667,38
FA_GT,slice_svm_vote,cn_vs_ad,0,0.8484848484848485,21
FA_GT,slice_svm_vote,cn_vs_ad,1,0.4444444444444444,21
FA_GT,slice_svm_vote,mci_vs_ad,0,0.8181818181818182,15
FA_GT,slice_svm_vote,mci_vs_ad,1,0.5,15
FIDELITY_FLOW,attention_mil,cn_scd_vs_mci_ad,0,0.7547169811320755,38
FIDELITY_FLOW,attention_mil,cn_scd_vs_mci_ad,1,0.43478260869565216,38
FIDELITY_FLOW,attention_mil,cn_vs_ad,0,0.8387096774193549,21
FIDELITY_FLOW,attention_mil,cn_vs_ad,1,0.5454545454545454,21
FIDELITY_FLOW,attention_mil,mci_vs_ad,0,0.8181818181818182,15
FIDELITY_FLOW,attention_mil,mci_vs_ad,1,0.5,15
FIDELITY_FLOW,multi_task_mil,cn_scd_vs_mci_ad,0,0.75,38
FIDELITY_FLOW,multi_task_mil,cn_scd_vs_mci_ad,1,0.5714285714285714,38
FIDELITY_FLOW,multi_task_mil,cn_vs_ad,0,0.8125,21
FIDELITY_FLOW,multi_task_mil,cn_vs_ad,1,0.4,21
FIDELITY_FLOW,multi_task_mil,mci_vs_ad,0,0.8181818181818182,15
FIDELITY_FLOW,multi_task_mil,mci_vs_ad,1,0.5,15
FIDELITY_FLOW,slice_svm_vote,cn_scd_vs_mci_ad,0,0.7083333333333334,38
FIDELITY_FLOW,slice_svm_vote,cn_scd_vs_mci_ad,1,0.5,38
FIDELITY_FLOW,slice_svm_vote,cn_vs_ad,0,0.8484848484848485,21
FIDELITY_FLOW,slice_svm_vote,cn_vs_ad,1,0.4444444444444444,21
FIDELITY_FLOW,slice_svm_vote,mci_vs_ad,0,0.7619047619047619,15
FIDELITY_FLOW,slice_svm_vote,mci_vs_ad,1,0.4444444444444444,15
PRIVATE_DS_HYBRID,attention_mil,cn_scd_vs_mci_ad,0,0.7636363636363637,38
PRIVATE_DS_HYBRID,attention_mil,cn_scd_vs_mci_ad,1,0.38095238095238093,38
PRIVATE_DS_HYBRID,attention_mil,cn_vs_ad,0,0.8125,21
PRIVATE_DS_HYBRID,attention_mil,cn_vs_ad,1,0.4,21
PRIVATE_DS_HYBRID,attention_mil,mci_vs_ad,0,0.8333333333333334,15
PRIVATE_DS_HYBRID,attention_mil,mci_vs_ad,1,0.3333333333333333,15
PRIVATE_DS_HYBRID,multi_task_mil,cn_scd_vs_mci_ad,0,0.723404255319149,38
PRIVATE_DS_HYBRID,multi_task_mil,cn_scd_vs_mci_ad,1,0.5517241379310345,38
PRIVATE_DS_HYBRID,multi_task_mil,cn_vs_ad,0,0.8125,21
PRIVATE_DS_HYBRID,multi_task_mil,cn_vs_ad,1,0.4,21
PRIVATE_DS_HYBRID,multi_task_mil,mci_vs_ad,0,0.6666666666666666,15
PRIVATE_DS_HYBRID,multi_task_mil,mci_vs_ad,1,0.2222222222222222,15
PRIVATE_DS_HYBRID,slice_svm_vote,cn_scd_vs_mci_ad,0,0.723404255319149,38
PRIVATE_DS_HYBRID,slice_svm_vote,cn_scd_vs_mci_ad,1,0.5517241379310345,38
PRIVATE_DS_HYBRID,slice_svm_vote,cn_vs_ad,0,0.8823529411764706,21
PRIVATE_DS_HYBRID,slice_svm_vote,cn_vs_ad,1,0.5,21
PRIVATE_DS_HYBRID,slice_svm_vote,mci_vs_ad,0,0.8181818181818182,15
PRIVATE_DS_HYBRID,slice_svm_vote,mci_vs_ad,1,0.5,15
Pix2Pix,attention_mil,cn_scd_vs_mci_ad,0,0.75,38
Pix2Pix,attention_mil,cn_scd_vs_mci_ad,1,0.3,38
Pix2Pix,attention_mil,cn_vs_ad,0,0.5,21
Pix2Pix,attention_mil,cn_vs_ad,1,0.3333333333333333,21
Pix2Pix,attention_mil,mci_vs_ad,0,0.8,15
Pix2Pix,attention_mil,mci_vs_ad,1,0.6,15
Pix2Pix,multi_task_mil,cn_scd_vs_mci_ad,0,0.5,38
Pix2Pix,multi_task_mil,cn_scd_vs_mci_ad,1,0.55,38
Pix2Pix,multi_task_mil,cn_vs_ad,0,0.8,21
Pix2Pix,multi_task_mil,cn_vs_ad,1,0.5,21
Pix2Pix,multi_task_mil,mci_vs_ad,0,0.7368421052631579,15
Pix2Pix,multi_task_mil,mci_vs_ad,1,0.5454545454545454,15
Pix2Pix,slice_svm_vote,cn_scd_vs_mci_ad,0,0.7111111111111111,38
Pix2Pix,slice_svm_vote,cn_scd_vs_mci_ad,1,0.5806451612903226,38
Pix2Pix,slice_svm_vote,cn_vs_ad,0,0.875,21
Pix2Pix,slice_svm_vote,cn_vs_ad,1,0.6,21
Pix2Pix,slice_svm_vote,mci_vs_ad,0,0.7619047619047619,15
Pix2Pix,slice_svm_vote,mci_vs_ad,1,0.4444444444444444,15
T1_ONLY,attention_mil,cn_scd_vs_mci_ad,0,0.8163265306122449,38
T1_ONLY,attention_mil,cn_scd_vs_mci_ad,1,0.6666666666666666,38
T1_ONLY,attention_mil,cn_vs_ad,0,0.56,21
T1_ONLY,attention_mil,cn_vs_ad,1,0.35294117647058826,21
T1_ONLY,attention_mil,mci_vs_ad,0,0.8571428571428571,15
T1_ONLY,attention_mil,mci_vs_ad,1,0.6666666666666666,15
T1_ONLY,multi_task_mil,cn_scd_vs_mci_ad,0,0.7,38
T1_ONLY,multi_task_mil,cn_scd_vs_mci_ad,1,0.6666666666666666,38
T1_ONLY,multi_task_mil,cn_vs_ad,0,0.8387096774193549,21
T1_ONLY,multi_task_mil,cn_vs_ad,1,0.5454545454545454,21
T1_ONLY,multi_task_mil,mci_vs_ad,0,0.7368421052631579,15
T1_ONLY,multi_task_mil,mci_vs_ad,1,0.5454545454545454,15
T1_ONLY,slice_svm_vote,cn_scd_vs_mci_ad,0,0.55,38
T1_ONLY,slice_svm_vote,cn_scd_vs_mci_ad,1,0.5,38
T1_ONLY,slice_svm_vote,cn_vs_ad,0,0.8,21
T1_ONLY,slice_svm_vote,cn_vs_ad,1,0.5,21
T1_ONLY,slice_svm_vote,mci_vs_ad,0,0.7272727272727273,15
T1_ONLY,slice_svm_vote,mci_vs_ad,1,0.25,15
UNet,attention_mil,cn_scd_vs_mci_ad,0,0.7307692307692307,38
UNet,attention_mil,cn_scd_vs_mci_ad,1,0.4166666666666667,38
UNet,attention_mil,cn_vs_ad,0,0.45454545454545453,21
UNet,attention_mil,cn_vs_ad,1,0.4,21
UNet,attention_mil,mci_vs_ad,0,0.6666666666666666,15
UNet,attention_mil,mci_vs_ad,1,0.5,15
UNet,multi_task_mil,cn_scd_vs_mci_ad,0,0.6808510638297872,38
UNet,multi_task_mil,cn_scd_vs_mci_ad,1,0.4827586206896552,38
UNet,multi_task_mil,cn_vs_ad,0,0.8823529411764706,21
UNet,multi_task_mil,cn_vs_ad,1,0.5,21
UNet,multi_task_mil,mci_vs_ad,0,0.8695652173913043,15
UNet,multi_task_mil,mci_vs_ad,1,0.5714285714285714,15
UNet,slice_svm_vote,cn_scd_vs_mci_ad,0,0.723404255319149,38
UNet,slice_svm_vote,cn_scd_vs_mci_ad,1,0.5517241379310345,38
UNet,slice_svm_vote,cn_vs_ad,0,0.9090909090909091,21
UNet,slice_svm_vote,cn_vs_ad,1,0.6666666666666666,21
UNet,slice_svm_vote,mci_vs_ad,0,0.7619047619047619,15
UNet,slice_svm_vote,mci_vs_ad,1,0.4444444444444444,15
