method,task,rows,mean_accuracy,mean_macro_auc,mean_macro_f1
T1_ONLY,cn_scd_vs_mci_ad,3,0.6578947368421053,0.7314009661835749,0.6499433106575964
CycleGAN,cn_scd_vs_mci_ad,3,0.6754385964912281,0.7053140096618358,0.6690508452703575
FIDELITY_FLOW,cn_scd_vs_mci_ad,3,0.6578947368421053,0.6772946859903382,0.6198769157649388
Pix2Pix,cn_scd_vs_mci_ad,3,0.6052631578947368,0.6695652173913044,0.5652927120669057
UNet,cn_scd_vs_mci_ad,3,0.6315789473684211,0.6676328502415458,0.5976956625342539
PRIVATE_DS_HYBRID,cn_scd_vs_mci_ad,3,0.6578947368421053,0.6502415458937199,0.615807588514852
FA_GT,cn_scd_vs_mci_ad,3,0.587719298245614,0.5700483091787439,0.5348814707305273
T1_ONLY,cn_vs_ad,3,0.6507936507936508,0.7647058823529411,0.5995175665574148
UNet,cn_vs_ad,3,0.6984126984126985,0.7647058823529411,0.6354426619132502
FA_GT,cn_vs_ad,3,0.746031746031746,0.7549019607843137,0.6492402308832329
Pix2Pix,cn_vs_ad,3,0.6507936507936508,0.7549019607843137,0.6013888888888889
CycleGAN,cn_vs_ad,3,0.7777777777777777,0.7401960784313726,0.7099869664385793
FIDELITY_FLOW,cn_vs_ad,3,0.746031746031746,0.7156862745098039,0.6482655859671989
PRIVATE_DS_HYBRID,cn_vs_ad,3,0.746031746031746,0.676470588235294,0.6345588235294117
Pix2Pix,mci_vs_ad,3,0.6888888888888888,0.7045454545454545,0.6481076428444849
T1_ONLY,mci_vs_ad,3,0.6888888888888888,0.6893939393939394,0.6305631502999924
UNet,mci_vs_ad,3,0.6888888888888888,0.6893939393939394,0.6356682769726247
FA_GT,mci_vs_ad,3,0.7555555555555555,0.6666666666666666,0.6274747474747475
FIDELITY_FLOW,mci_vs_ad,3,0.7111111111111111,0.6515151515151515,0.6404521404521405
PRIVATE_DS_HYBRID,mci_vs_ad,3,0.6666666666666666,0.6212121212121212,0.5622895622895623
CycleGAN,mci_vs_ad,3,0.6444444444444444,0.6136363636363636,0.5735564757303887
