method,task,protocol,classifier,feature_set,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,n_features,n_selected_features,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,epochs,seed
CycleGAN,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.7352941176470588,80.0,2026.0
FA_GT,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.8088235294117647,80.0,2026.0
FidelityFlow,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7205882352941176,80.0,2026.0
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.676470588235294,80.0,2026.0
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7205882352941176,80.0,2026.0
Pix2Pix,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.4285714285714285,0.5514705882352942,0.4166666666666666,0.7941176470588235,80.0,2026.0
Stage1_LPIPS_GAN,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.7499999999999999,80.0,2026.0
T1_ONLY,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.4761904761904761,0.5808823529411764,0.4564705882352942,0.7794117647058824,80.0,2026.0
UNet,cn_vs_ad,attention_mil,attention_mil,roi_mean,81,21,4050,1050,159,159,0.4285714285714285,0.6470588235294118,0.4272727272727272,0.7941176470588235,80.0,2026.0
CycleGAN,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.7205882352941176,80.0,2026.0
FA_GT,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.7941176470588236,0.6370370370370371,0.7499999999999999,80.0,2026.0
FidelityFlow,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7794117647058824,80.0,2026.0
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.5735294117647058,80.0,2026.0
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6190476190476191,0.5735294117647058,0.5333333333333333,0.6029411764705882,80.0,2026.0
Pix2Pix,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.7499999999999999,80.0,2026.0
Stage1_LPIPS_GAN,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.7794117647058824,80.0,2026.0
T1_ONLY,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.75,80.0,2026.0
UNet,cn_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.7941176470588235,80.0,2026.0
CycleGAN,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7352941176470588,,
FA_GT,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.8088235294117647,,
FidelityFlow,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.6911764705882353,,
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.6617647058823529,,
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.6764705882352942,,
Pix2Pix,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.8095238095238095,0.7867647058823529,0.7375,0.7647058823529411,,
Stage1_LPIPS_GAN,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.7058823529411764,,
T1_ONLY,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.7142857142857143,0.7279411764705883,0.65,0.75,,
UNet,cn_vs_ad,slice_svm_vote,linear_svm,roi_mean,81,21,4050,1050,159,159,0.8571428571428571,0.8161764705882353,0.7878787878787878,0.7499999999999999,,
CycleGAN,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.5142857142857142,0.5397923875432526,80.0,2026.0
FA_GT,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.7352941176470589,0.7352941176470589,0.7332170880557978,0.7508650519031141,80.0,2026.0
FidelityFlow,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.5277777777777778,0.5986159169550173,80.0,2026.0
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.3823529411764705,0.3823529411764705,0.3775065387968613,0.3633217993079585,80.0,2026.0
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.3823529411764705,0.3823529411764705,0.3775065387968613,0.3183391003460207,80.0,2026.0
Pix2Pix,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.5,0.5,0.3333333333333333,0.5847750865051904,80.0,2026.0
Stage1_LPIPS_GAN,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.5277777777777778,0.615916955017301,80.0,2026.0
T1_ONLY,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.4705882352941176,0.4705882352941176,0.4631578947368421,0.5501730103806228,80.0,2026.0
UNet,cn_vs_mci_spectrum,attention_mil,attention_mil,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.4848484848484848,0.6089965397923875,80.0,2026.0
