method,protocol,task,class_label,f1,n_subject_rows
CycleGAN,attention_mil,cn_vs_ad,0,0.9090909090909091,21
CycleGAN,attention_mil,cn_vs_ad,1,0.6666666666666666,21
CycleGAN,attention_mil,cn_vs_mci_spectrum,0,0.6,34
CycleGAN,attention_mil,cn_vs_mci_spectrum,1,0.42857142857142855,34
CycleGAN,attention_mil,mci_spectrum_vs_ad,0,0.6153846153846154,21
CycleGAN,attention_mil,mci_spectrum_vs_ad,1,0.375,21
CycleGAN,multi_task_mil,cn_vs_ad,0,0.8125,21
CycleGAN,multi_task_mil,cn_vs_ad,1,0.4,21
CycleGAN,multi_task_mil,cn_vs_mci_spectrum,0,0.0,34
CycleGAN,multi_task_mil,cn_vs_mci_spectrum,1,0.6666666666666666,34
CycleGAN,multi_task_mil,mci_spectrum_vs_ad,0,0.7741935483870968,21
CycleGAN,multi_task_mil,mci_spectrum_vs_ad,1,0.36363636363636365,21
CycleGAN,slice_svm_vote,cn_vs_ad,0,0.8387096774193549,21
CycleGAN,slice_svm_vote,cn_vs_ad,1,0.5454545454545454,21
CycleGAN,slice_svm_vote,cn_vs_mci_spectrum,0,0.47058823529411764,34
CycleGAN,slice_svm_vote,cn_vs_mci_spectrum,1,0.47058823529411764,34
CycleGAN,slice_svm_vote,mci_spectrum_vs_ad,0,0.7741935483870968,21
CycleGAN,slice_svm_vote,mci_spectrum_vs_ad,1,0.36363636363636365,21
FA_GT,attention_mil,cn_vs_ad,0,0.7586206896551724,21
FA_GT,attention_mil,cn_vs_ad,1,0.46153846153846156,21
FA_GT,attention_mil,cn_vs_mci_spectrum,0,0.7096774193548387,34
FA_GT,attention_mil,cn_vs_mci_spectrum,1,0.7567567567567568,34
FA_GT,attention_mil,mci_spectrum_vs_ad,0,0.8823529411764706,21
FA_GT,attention_mil,mci_spectrum_vs_ad,1,0.5,21
FA_GT,multi_task_mil,cn_vs_ad,0,0.7407407407407407,21
FA_GT,multi_task_mil,cn_vs_ad,1,0.5333333333333333,21
FA_GT,multi_task_mil,cn_vs_mci_spectrum,0,0.21052631578947367,34
FA_GT,multi_task_mil,cn_vs_mci_spectrum,1,0.6938775510204082,34
FA_GT,multi_task_mil,mci_spectrum_vs_ad,0,0.6428571428571429,21
FA_GT,multi_task_mil,mci_spectrum_vs_ad,1,0.2857142857142857,21
