method,task,rows,mean_accuracy,mean_macro_auc,mean_macro_f1
FA_GT,cn_vs_ad,3,0.6984126984126983,0.7892156862745098,0.6311937530328334
UNet,cn_vs_ad,3,0.6984126984126985,0.7794117647058822,0.6354426619132502
Pix2Pix,cn_vs_ad,3,0.6507936507936508,0.7696078431372548,0.5868055555555555
T1_ONLY,cn_vs_ad,3,0.6825396825396824,0.7598039215686274,0.6314497920380274
Stage1_LPIPS_GAN,cn_vs_ad,3,0.6984126984126983,0.7450980392156863,0.6222079325527601
FidelityFlow,cn_vs_ad,3,0.7619047619047619,0.7303921568627452,0.6768762897795156
CycleGAN,cn_vs_ad,3,0.7777777777777777,0.7303921568627451,0.6954036331052459
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_ad,3,0.6984126984126985,0.6666666666666666,0.6105551482567612
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_ad,3,0.7301587301587302,0.6372549019607843,0.6221138088666551
FA_GT,cn_vs_mci_spectrum,3,0.6176470588235294,0.6874279123414072,0.5781635464992914
UNet,cn_vs_mci_spectrum,3,0.5294117647058824,0.6389850057670127,0.4922369474799142
Stage1_LPIPS_GAN,cn_vs_mci_spectrum,3,0.5196078431372549,0.5997693194925029,0.45431420431420433
Pix2Pix,cn_vs_mci_spectrum,3,0.5196078431372549,0.5893886966551327,0.40734282669766547
FidelityFlow,cn_vs_mci_spectrum,3,0.5588235294117647,0.5732410611303345,0.5108429118773946
CycleGAN,cn_vs_mci_spectrum,3,0.5,0.5686274509803921,0.43940242763772175
T1_ONLY,cn_vs_mci_spectrum,3,0.4901960784313726,0.5490196078431372,0.43201944254575836
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,cn_vs_mci_spectrum,3,0.4705882352941176,0.44059976931949246,0.41121562989135146
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,cn_vs_mci_spectrum,3,0.45098039215686275,0.4002306805074971,0.3931966240433982
T1_ONLY,mci_spectrum_vs_ad,3,0.7301587301587301,0.7598039215686274,0.6647479328235725
FidelityFlow,mci_spectrum_vs_ad,3,0.6984126984126983,0.7549019607843137,0.6099706744868035
UNet,mci_spectrum_vs_ad,3,0.746031746031746,0.7549019607843137,0.6476430976430976
Pix2Pix,mci_spectrum_vs_ad,3,0.6984126984126983,0.7401960784313726,0.5947648528293689
Stage1_LPIPS_GAN,mci_spectrum_vs_ad,3,0.6825396825396824,0.7401960784313726,0.6096648438695157
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,mci_spectrum_vs_ad,3,0.6825396825396824,0.7254901960784313,0.5950815105361823
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,mci_spectrum_vs_ad,3,0.6984126984126985,0.6960784313725491,0.5938049853372434
CycleGAN,mci_spectrum_vs_ad,3,0.6190476190476191,0.6960784313725489,0.544340739905256
FA_GT,mci_spectrum_vs_ad,3,0.6507936507936508,0.6372549019607844,0.5629318394024276
