method,rows,mean_accuracy,mean_macro_auc,mean_macro_f1,mean_n_train_subjects,mean_n_test_subjects,dataset
ADNI_A080_DS_FULL,9,0.7099795245343191,0.7226012058570199,0.5930867893828313,211.55555555555557,52.0,ADNI
ADNI_OLD_FIDELITY_FLOW,9,0.6775703051387983,0.7133161068044789,0.5725784724532805,211.55555555555557,52.0,ADNI
T1_ONLY,9,0.6897867289990578,0.7090439276485788,0.5815397865951036,211.55555555555557,52.0,ADNI
ADNI_A080_BASE,9,0.7364300210190621,0.7016020671834625,0.6003679277026374,211.55555555555557,52.0,ADNI
ADNI_PIX2PIX,9,0.7120334130608104,0.6892334194659776,0.5988889744893249,211.55555555555557,52.0,ADNI
ADNI_UNET,9,0.6071981227803146,0.688458225667528,0.5133668339688089,211.55555555555557,52.0,ADNI
FA_GT,9,0.7240622961513372,0.6757278208441,0.5726649391461949,211.55555555555557,52.0,ADNI
ADNI_CYCLEGAN,9,0.6899914836558672,0.6726442721791559,0.5663804400213571,211.55555555555557,52.0,ADNI
ADNI_LIGHTGUARD_PRIOR_FLOW,9,0.5958895049648475,0.6533161068044789,0.4262946690070918,211.55555555555557,52.0,ADNI
T1_ONLY,9,0.6658590921748817,0.7285002626434851,0.6266746758383346,129.66666666666666,24.666666666666668,Private
Pix2Pix,9,0.6483152325257588,0.7096708775736909,0.6049297479334265,129.66666666666666,24.666666666666668,Private
UNet,9,0.6729601782233361,0.7072442239961422,0.6229355338067095,129.66666666666666,24.666666666666668,Private
CycleGAN,9,0.6992202729044834,0.686382150576524,0.6508647624797752,129.66666666666666,24.666666666666668,Private
FIDELITY_FLOW,9,0.7050125313283208,0.6814987040050978,0.6361982140614261,129.66666666666666,24.666666666666668,Private
FA_GT,9,0.6964355332776386,0.6638723122099082,0.6038654830295026,129.66666666666666,24.666666666666668,Private
PRIVATE_DS_HYBRID,9,0.690197716513506,0.6493080851137116,0.6042186581112754,129.66666666666666,24.666666666666668,Private
