dataset,Method,Accuracy,Macro_AUC,Macro_F1,Rows,mean_n_train_subjects,mean_n_test_subjects
ADNI,ADNI_A080_DS_FULL,0.7099795245343191,0.7226012058570199,0.5930867893828313,9,211.55555555555557,52.0
ADNI,ADNI_OLD_FIDELITY_FLOW,0.6775703051387983,0.7133161068044789,0.5725784724532805,9,211.55555555555557,52.0
ADNI,ADNI_MOTFM,0.7154544466188302,0.7100430663221361,0.6061870203836373,9,211.55555555555557,52.0
ADNI,T1_ONLY,0.6897867289990578,0.7090439276485788,0.5815397865951036,9,211.55555555555557,52.0
ADNI,ADNI_A080_BASE,0.7364300210190621,0.7016020671834625,0.6003679277026374,9,211.55555555555557,52.0
ADNI,ADNI_PIX2PIX,0.7120334130608104,0.6892334194659776,0.5988889744893249,9,211.55555555555557,52.0
ADNI,ADNI_UNET,0.6071981227803146,0.688458225667528,0.5133668339688089,9,211.55555555555557,52.0
ADNI,FA_GT,0.7240622961513372,0.6757278208441,0.5726649391461949,9,211.55555555555557,52.0
ADNI,ADNI_CYCLEGAN,0.6899914836558672,0.6726442721791559,0.5663804400213571,9,211.55555555555557,52.0
ADNI,ADNI_DBM,0.6758452924548816,0.657433247200689,0.5582676505730334,9,211.55555555555557,52.0
ADNI,ADNI_LIGHTGUARD_PRIOR_FLOW,0.5958895049648475,0.6533161068044789,0.4262946690070918,9,211.55555555555557,52.0
ADNI,ADNI_DDIM,0.7397976009277379,0.6468561584840655,0.5872485637660315,9,211.55555555555557,52.0
Private,UNet,0.6579520697167757,0.7244329104190697,0.591774235678754,9,134.55555555555554,25.33333333333333
Private,FA_GT,0.6556178026766263,0.7046328335255672,0.5907630463115175,9,134.55555555555554,25.33333333333333
Private,Pix2Pix,0.6229380641145347,0.6997308727412533,0.52963774502753,9,134.55555555555554,25.33333333333333
Private,Stage1_LPIPS_GAN,0.6335200746965453,0.6950211457131873,0.5620623269121601,9,134.55555555555554,25.33333333333333
Private,T1_ONLY,0.6342981637099284,0.6895424836601307,0.5760723891357861,9,134.55555555555554,25.33333333333333
Private,FidelityFlow,0.6730469965764083,0.6861783929257977,0.5992299587145713,9,134.55555555555554,25.33333333333333
Private,CycleGAN,0.6322751322751323,0.6650326797385621,0.5597156002160746,9,134.55555555555554,25.33333333333333
Private,PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,0.6106442577030813,0.5974625144175317,0.5329444276121139,9,134.55555555555554,25.33333333333333
Private,PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,0.6330532212885154,0.5913110342176086,0.5423781413650833,9,134.55555555555554,25.33333333333333
