dataset,image_method,downstream_method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,ROI_Spearman,SharpRatio,Tenengrad_or_EdgeGrad,WM_Skeleton_Error,Slice_Consistency,n_slices,n_subjects,downstream_ACC,downstream_AUC,downstream_F1,downstream_rows,score_fidelity,score_medical,sharp_closeness,score_texture,score_downstream,integrated_score,rank_within_dataset
ADNI,A080+DS Full (Ours),ADNI_A080_DS_FULL,28.815641472559616,0.9141944313151203,0.0014225380805082,0.0165609134177238,0.0545456851119483,0.8422826313773586,0.8531436505633464,1.022621054007444,0.1141140857768481,0.0736741217077468,0.0319798937991948,5616,108,0.7099795245343191,0.7226012058570199,0.5930867893828313,9,0.8863565797247809,0.9130819985273257,0.9773789459925559,0.9913532008104086,0.8515039770654592,0.9066603789178395,1.0
ADNI,Old Fidelity Flow,ADNI_OLD_FIDELITY_FLOW,28.091504528286777,0.90531276990036,0.0016655306983705,0.0176863376354829,0.0569650621280774,0.8670418903548784,,0.8891652897772035,0.1231605569398205,,,5616,108,0.6775703051387983,0.7133161068044789,0.5725784724532805,9,0.8540105032147552,0.9215445829857809,0.8891652897772035,0.9576339156337415,0.7019669367060088,0.8569845180026736,3.0
ADNI,PriorFlow Safe Probe,ADNI_LIGHTGUARD_PRIOR_FLOW,28.06840838926896,0.8940160596196638,0.0017115985843349,0.018440258110216,0.0570485419719785,0.8434431589417718,0.8208557730582184,0.9797964896565012,0.1186363485408283,0.0783908810231707,0.0298095290973842,5616,108,0.5958895049648475,0.6533161068044789,0.4262946690070918,9,0.8356913275803605,0.9089564725433524,0.9797964896565012,0.9922772963272366,0.018228275951501855,0.6846223019114187,4.0
ADNI,A080 Base,ADNI_A080_BASE,28.371389854491596,0.9085649417294056,0.0015769069538673,0.0174355769646519,0.0613451685671538,0.767734461395152,0.8420159881346553,0.996119722765454,0.1173766927045379,0.0826981090741534,0.0328822990300467,5616,108,0.7364300210190621,0.7016020671834625,0.6003679277026374,9,0.8655802633519167,0.8609469317892355,0.996119722765454,0.9985167809583045,0.8295436616456215,0.881768416977816,2.0
ADNI,Pix2Pix,Pix2Pix,28.01128692661972,0.9013884010117108,0.0016903714791038,0.0177023859090633,0.0605884088585392,0.826972968838031,,0.9126471253894812,0.1271896365707596,,,5616,108,,,,0,0.8469414456481839,0.893581744058844,0.9126471253894812,0.9666097448358442,,0.673131833596868,5.0
ADNI,U-Net,U-Net,28.4444048820755,0.9073398449800464,0.0015385588902275,0.0170430162614092,0.0584098915848085,0.812192962320848,,0.5185544939955045,0.1182787073524058,,,5616,108,,,,0,0.8670829238163664,0.8899196726214325,0.5185544939955045,0.8159695560701048,,0.6469405439545423,6.0
ADNI,CycleGAN,CycleGAN,26.256411082260605,0.8705280325839831,0.0025222178829579,0.0220294568786846,0.0784097185552099,0.6906869032717452,,0.8769016944722902,0.1496993691655157,,,5616,108,,,,0,0.7501706563572798,0.7880681043823228,0.8769016944722902,0.9529462098394355,,0.6145523373719038,7.0
ADNI,DBM,DBM,25.880053421220467,0.8765405743167951,0.0027774782981766,0.0232184065717797,0.09284002647836,0.5057083290804734,,0.4888594477613103,0.1408321944329399,,,5616,108,,,,0,0.7451640380806895,0.6633244191565331,0.4888594477613103,0.8046187542185107,,0.5462120861108344,9.0
ADNI,DDIM,DDIM,25.78309564791092,0.861652454918521,0.0028004400831603,0.0235724377884009,0.087961158443221,0.5803403636988274,,0.5693742474319948,0.1547991841901465,,,5616,108,,,,0,0.7219249209812669,0.711868778379197,0.5693742474319948,0.8353951850741852,,0.5611209007739129,8.0
ADNI,T1_ONLY,T1_ONLY,14.051894684127378,0.7483192941656819,0.0428483366495777,0.1051734316834723,0.3167069901253211,0.0507440049152993,,3.61611881014588,0.3527419856282487,,,5616,108,0.6897867289990578,0.7090439276485788,0.5815397865951036,9,0.0,0.0,-1.6161188101458799,0.0,0.7248135786847003,0.18120339467117508,10.0
ADNI,FA_GT,FA_GT,,1.0,,,,1.0,,1.0,0.0,,,5616,108,0.7240622961513372,0.6757278208441,0.5726649391461949,9,,,1.0,1.0,0.6414151797336377,,
Private,Private DS Hybrid (Main),PRIVATE_DS_HYBRID,28.013569024809744,0.9022712035869296,0.0016660941834867,0.0175842711956877,0.052514680606362,0.8916083668476751,,1.009939834917142,0.1182447808824087,,,1900,38,0.690197716513506,0.6493080851137116,0.6042186581112754,9,0.8486064917934963,0.9429070589421702,0.990060165082858,0.9962005414744187,0.4877754729751887,0.8162077171697061,5.0
Private,Private Stage1 Sharp,Private Stage1 Sharp,27.279659660139,0.8895966669760252,0.0019625133752675,0.0193780276855747,0.062463248066212,0.8606981323803289,,0.9374024818959424,0.1286068927771166,,,1900,38,,,,0,0.80850231706312,0.9077974951117573,0.9374024818959424,0.9760723718428648,,0.6696793021678802,6.0
Private,Private Fidelity Flow,FIDELITY_FLOW,27.581172183831697,0.8924929921721158,0.0018422495445395,0.0188956401899064,0.0592060479678605,0.8665068941764639,,0.8691766028771836,0.1236525728435892,,,1900,38,0.7050125313283208,0.6814987040050978,0.6361982140614261,9,0.8209603882318081,0.917021583475981,0.8691766028771836,0.9499933272848868,0.7167822719917094,0.849540805555651,1.0
Private,Private U-Net CurrentSplit,UNet,28.236095667030074,0.8972939960266414,0.0016059434950033,0.0178338956764262,0.0574854416733509,0.8361084757039453,,0.4561077564473385,0.1126025230006167,,,1900,38,0.6729601782233361,0.7072442239961422,0.6229355338067095,9,0.8460996885007778,0.904266228049808,0.4561077564473385,0.7920995631225429,0.7381639200144149,0.8257656831682492,3.0
Private,Private Pix2Pix CurrentSplit,Pix2Pix,28.11355829940298,0.9035034809300774,0.0016406288084659,0.0178467226866632,0.0577846271034918,0.8714690061726429,,0.6414842470094795,0.1139225900506502,,,1900,38,0.6483152325257588,0.7096708775736909,0.6049297479334265,9,0.8515088341405231,0.9223253936717715,0.6414842470094795,0.8629589177677565,0.6640211451699009,0.8281718964826887,2.0
Private,Private CycleGAN CurrentSplit,CycleGAN,26.1662259792018,0.8710763981781507,0.0025555434269757,0.0224726931608625,0.0681456845390953,0.8114500031057172,,0.8642870103487309,0.1393967920600583,,,1900,38,0.6992202729044834,0.686382150576524,0.6508647624797752,9,0.7471934241178207,0.8711027551912045,0.8642870103487309,0.9481243018761439,0.7470236993056293,0.8245099677884528,4.0
Private,Private StackUNet5 CurrentSplit,Private StackUNet5 CurrentSplit,28.2576685121275,0.903757953361461,0.0015749113891874,0.0175011672010939,0.0575105696191128,0.8568747481591782,,0.5429407634103314,0.1130940921800701,,,1900,38,,,,0,0.8563994350922629,0.9151568553485268,0.5429407634103314,0.8252911011468237,,0.6537051356069885,8.0
Private,Private DS Atlas Probe,Private DS Atlas Probe,27.071179462335603,0.8857272039902838,0.0020674535345996,0.020471191065582,0.0607116851641943,0.8281764908196173,,0.6548417823417125,0.1264167397920238,,,1900,38,,,,0,0.7945583083578344,0.8939823652509724,0.6548417823417125,0.8680647773642051,,0.6404472421375914,9.0
Private,Private Stage1 Baseline,Private Stage1 Baseline,27.972420835201195,0.9033873518517144,0.0016956827229679,0.0181682126069637,0.0628842776131473,0.799743333006903,,0.5187075370858489,0.1145087443488208,,,1900,38,,,,0,0.8469591047356874,0.8748940530374114,0.5187075370858489,0.8160280561236005,,0.6374136033198654,10.0
Private,Private Stage1 LPIPS+GAN,Private Stage1 LPIPS+GAN,27.56198295798881,0.8913763092379821,0.0018501440895488,0.0189154647138754,0.0615930120627346,0.83447988974594,,0.8822090463627594,0.1245389396089472,,,1900,38,,,,0,0.8189735956266907,0.8956345791632434,0.8822090463627594,0.9549749219414572,,0.6644287570439371,7.0
