dataset,image_method,paper_method,downstream_method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,ROI_Spearman,SharpRatio,Tenengrad_or_EdgeGrad,WM_Skeleton_Error,Slice_Consistency,n_slices,n_subjects,MetricStem,MetricSource,downstream_ACC,downstream_AUC,downstream_F1,downstream_rows,downstream_merge_status,primary_score_eligible,primary_exclusion_reason,sharp_closeness_raw,tenengrad_score_raw,score_fidelity_25,score_medical_30,score_texture_20,score_downstream_25,primary_integrated_score,balanced_score,image_heavy_score,medical_heavy_score,downstream_heavy_score,primary_rank_within_dataset,image_heavy_rank,medical_heavy_rank,downstream_heavy_rank
ADNI,A080+DS Full (Ours),A080+DS Full (Ours),ADNI_A080_DS_FULL,28.815641472559616,0.9141944313151203,0.0014225380805082,0.0165609134177238,0.0545456851119483,0.8422826313773586,0.8531436505633464,1.022621054007444,0.1141140857768481,0.0736741217077468,0.0319798937991948,5616,108,ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST,outputs\icdm2026\metrics\ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST_summary.json,0.7099795245343191,0.7226012058570199,0.5930867893828313,9,matched,True,,0.9773789459925559,0.1141140857768481,1.0,0.9532018546095923,0.986919220214051,0.9233221665487729,0.964174942062881,0.964174942062881,0.9780165243500856,0.9648230035994427,0.9503393372284126,1.0,1.0,1.0,1.0
ADNI,Old Fidelity Flow,Old Fidelity Flow,ADNI_OLD_FIDELITY_FLOW,28.091504528286777,0.90531276990036,0.0016655306983705,0.0176863376354829,0.0569650621280774,0.8670418903548784,,0.8891652897772035,0.1231605569398205,,,5616,108,ADNI_PM_DIRF_FIDELITY_FLOW_FULL,outputs\icdm2026\metrics\ADNI_PM_DIRF_FIDELITY_FLOW_FULL_summary.json,0.6775703051387983,0.7133161068044789,0.5725784724532805,9,matched,True,,0.8891652897772035,0.1231605569398205,0.7692837463855574,0.9493091345626603,0.7609114012932254,0.7625117273627474,0.8199238890645194,0.8199238890645194,0.8119384225090858,0.8476048991933659,0.8006469627457231,2.0,2.0,2.0,2.0
ADNI,Pix2Pix,Pix2Pix,ADNI_PIX2PIX,28.01128692661972,0.9013884010117108,0.0016903714791038,0.0177023859090633,0.0605884088585392,0.826972968838031,,0.9126471253894812,0.1271896365707596,,,5616,108,ADNI_Pix2Pix_E50,outputs\icdm2026\metrics\ADNI_Pix2Pix_E50_summary.json,0.7120334130608104,0.6892334194659776,0.5988889744893249,9,matched,True,,0.9126471253894812,0.1271896365707596,0.7279001894946836,0.759789627493946,0.7288847527963218,0.778770457794853,0.7503815006298323,0.7503815006298323,0.7411564884848438,0.7500778894997048,0.7598608957398665,3.0,4.0,3.0,4.0
ADNI,A080 Base,A080 Base,ADNI_A080_BASE,28.3713898544916,0.9085649417294056,0.0015769069538673,0.0174355769646519,0.0613451685671538,0.767734461395152,0.8420159881346553,0.996119722765454,0.1173766927045379,0.0826981090741534,0.0328822990300467,5616,108,ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080,outputs\icdm2026\metrics\ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080_summary.json,0.7364300210190621,0.7016020671834625,0.6003679277026374,9,matched,True,,0.996119722765454,0.1173766927045379,0.8458490361569758,0.6024413368103949,0.636105278952396,0.8989723189126466,0.7441587956010033,0.7441587956010033,0.7483606881549817,0.7023353124234492,0.7922675740848081,4.0,3.0,4.0,3.0
ADNI,U-Net,U-Net,ADNI_UNET,28.4444048820755,0.9073398449800464,0.0015385588902275,0.0170430162614092,0.0584098915848085,0.812192962320848,,0.5185544939955045,0.1182787073524058,,,5616,108,ADNI_UNet_E50,outputs\icdm2026\metrics\ADNI_UNet_E50_summary.json,0.6071981227803146,0.688458225667528,0.5133668339688089,9,matched,True,,0.5185544939955045,0.1182787073524058,0.8699355324669268,0.7635298564159465,0.44148393410175923,0.3626265546916368,0.6254962655347768,0.6254962655347768,0.7069128960036193,0.6602663119046587,0.5307321686143106,5.0,5.0,5.0,5.0
ADNI,PriorFlow Safe Probe,LightGuard PriorFlow,ADNI_LIGHTGUARD_PRIOR_FLOW,28.06840838926896,0.8940160596196638,0.0017115985843349,0.018440258110216,0.0570485419719785,0.8434431589417718,0.8208557730582184,0.9797964896565012,0.1186363485408283,0.0783908810231707,0.0298095290973842,5616,108,ADNI_PRIOR_FLOW_SAFE_PROBE_FULL,outputs\icdm2026\metrics\ADNI_PRIOR_FLOW_SAFE_PROBE_FULL_summary.json,0.5958895049648475,0.6533161068044789,0.4262946690070918,9,matched,True,,0.9797964896565012,0.1186363485408283,0.6340855899347296,0.5871021072802599,0.7720154139312698,0.0,0.48905511245401434,0.48905511245401434,0.5865171250769472,0.5454161490493168,0.3283355720359519,6.0,6.0,6.0,7.0
ADNI,CycleGAN,CycleGAN,ADNI_CYCLEGAN,26.256411082260605,0.8705280325839831,0.0025222178829579,0.0220294568786846,0.0784097185552099,0.6906869032717452,,0.8769016944722902,0.1496993691655157,,,5616,108,ADNI_CycleGAN_E50,outputs\icdm2026\metrics\ADNI_CycleGAN_E50_summary.json,0.6899914836558672,0.6726442721791559,0.5663804400213571,9,matched,True,,0.8769016944722902,0.1496993691655157,0.0,0.0,0.37518141909092695,0.5844297975361009,0.22114373320221062,0.22114373320221062,0.1334792635717955,0.16270075344860052,0.34849211163168947,7.0,7.0,7.0,6.0
ADNI,DBM,DBM,ADNI_DBM,25.880053421220467,0.8765405743167951,0.0027774782981766,0.0232184065717797,0.09284002647836,0.5057083290804734,,0.4888594477613103,0.1408321944329399,,,5616,108,ADNI_DBM_E100_K40_PRETRAINED,outputs\icdm2026\metrics\ADNI_DBM_E100_K40_PRETRAINED_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.4888594477613103,0.1408321944329399,,,,,,,,,,,,,
ADNI,DDIM,DDIM,ADNI_DDIM,25.78309564791092,0.861652454918521,0.0028004400831603,0.0235724377884009,0.087961158443221,0.5803403636988274,,0.5693742474319948,0.1547991841901465,,,5616,108,ADNI_DDIM_E100_K50_PRETRAINED,outputs\icdm2026\metrics\ADNI_DDIM_E100_K50_PRETRAINED_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.5693742474319948,0.1547991841901465,,,,,,,,,,,,,
ADNI,FA_GT,FA_GT,FA_GT,,1.0,,,,1.0,,1.0,0.0,,,5616,108,ADNI_FA_GT,outputs\icdm2026\metrics\ADNI_FA_GT_summary.json,0.7240622961513372,0.6757278208441,0.5726649391461949,9,matched,False,reference/input upper-bound or non-generated baseline; reported but not ranked by generated-method composite,1.0,0.0,,,,,,,,,,,,,
ADNI,T1_ONLY,T1_ONLY,T1_ONLY,14.051894684127378,0.7483192941656819,0.0428483366495777,0.1051734316834723,0.3167069901253211,0.0507440049152993,,3.61611881014588,0.3527419856282487,,,5616,108,ADNI_T1_ONLY,outputs\icdm2026\metrics\ADNI_T1_ONLY_summary.json,0.6897867289990578,0.7090439276485788,0.5815397865951036,9,matched,False,reference/input upper-bound or non-generated baseline; reported but not ranked by generated-method composite,-1.6161188101458799,0.3527419856282487,,,,,,,,,,,,,
Private,Private DS Hybrid (Main),PRIVATE_DS_HYBRID,PRIVATE_DS_HYBRID,28.013569024809744,0.9022712035869296,0.0016660941834867,0.0175842711956877,0.052514680606362,0.8916083668476751,,1.009939834917142,0.1182447808824087,,,1900,38,PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,outputs\icdm2026\metrics\PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL_summary.json,0.690197716513506,0.6493080851137116,0.6042186581112754,9,matched,True,,0.990060165082858,0.1182447808824087,0.9514969841311359,1.0,0.8947114797333161,0.2462344466273744,0.7783751536362908,0.7783751536362908,0.8817393834684119,0.8561768597669965,0.600048492893355,1.0,1.0,1.0,3.0
Private,Private Fidelity Flow,FidelityFlow,FIDELITY_FLOW,27.581172183831697,0.8924929921721158,0.0018422495445395,0.0188956401899064,0.0592060479678605,0.8665068941764639,,0.8691766028771836,0.1236525728435892,,,1900,38,PM_DIRF_FIDELITY_FLOW_FULL,outputs\icdm2026\metrics\PM_DIRF_FIDELITY_FLOW_FULL_summary.json,0.7050125313283208,0.6814987040050978,0.6361982140614261,9,matched,True,,0.8691766028771836,0.1236525728435892,0.6919285532349408,0.6293842321175287,0.6806013148941297,0.7396213531386019,0.6828230092074703,0.6828230092074703,0.6787963052777917,0.6686720810494924,0.7015670032121673,2.0,4.0,3.0,1.0
Private,Private Pix2Pix CurrentSplit,Pix2Pix,Pix2Pix,28.11355829940298,0.9035034809300774,0.0016406288084659,0.0178467226866632,0.0577846271034918,0.8714690061726429,,0.6414842470094795,0.1139225900506502,,,1900,38,Pix2Pix_CurrentSplit_E100,outputs\icdm2026\metrics\Pix2Pix_CurrentSplit_E100_summary.json,0.6483152325257588,0.7096708775736909,0.6049297479334265,9,matched,True,,0.6414842470094795,0.1139225900506502,0.9623703633562118,0.7058041578071428,0.6489555794674706,0.338414785341512,0.6667286504100679,0.6667286504100679,0.7731502973897264,0.6906392773791776,0.5520671156557369,3.0,2.0,2.0,4.0
Private,Private U-Net CurrentSplit,UNet,UNet,28.236095667030074,0.8972939960266414,0.0016059434950033,0.0178338956764262,0.0574854416733509,0.8361084757039453,,0.4561077564473385,0.1126025230006167,,,1900,38,UNet_CurrentSplit_E100,outputs\icdm2026\metrics\UNet_CurrentSplit_E100_summary.json,0.6729601782233361,0.7072442239961422,0.6229355338067095,9,matched,True,,0.4561077564473385,0.1126025230006167,0.9191482887159795,0.494807720841421,0.5,0.5985757981894789,0.6278733379787909,0.6278733379787909,0.6971762399514939,0.5962795018502571,0.6111216865704205,4.0,3.0,4.0,2.0
Private,Private CycleGAN CurrentSplit,CycleGAN,CycleGAN,26.1662259792018,0.8710763981781507,0.0025555434269757,0.0224726931608625,0.0681456845390953,0.8114500031057172,,0.8642870103487309,0.1393967920600583,,,1900,38,CycleGAN_CurrentSplit_E100,outputs\icdm2026\metrics\CycleGAN_CurrentSplit_E100_summary.json,0.6992202729044834,0.686382150576524,0.6508647624797752,9,matched,True,,0.8642870103487309,0.1393967920600583,0.0,0.0,0.3822243773976672,0.8373420938881723,0.2857803989515765,0.2857803989515765,0.16017908486835067,0.20204618956275927,0.4760047035537362,5.0,5.0,5.0,5.0
Private,Private DS Atlas Probe,Private DS Atlas Probe,Private DS Atlas Probe,27.071179462335603,0.8857272039902838,0.0020674535345996,0.020471191065582,0.0607116851641943,0.8281764908196173,,0.6548417823417125,0.1264167397920238,,,1900,38,PRIVATE_DS_ATLAS_SINGLE_2048_E5,outputs\icdm2026\metrics\PRIVATE_DS_ATLAS_SINGLE_2048_E5_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.6548417823417125,0.1264167397920238,,,,,,,,,,,,,
Private,Private StackUNet5 CurrentSplit,Private StackUNet5 CurrentSplit,Private StackUNet5 CurrentSplit,28.2576685121275,0.903757953361461,0.0015749113891874,0.0175011672010939,0.0575105696191128,0.8568747481591782,,0.5429407634103314,0.1130940921800701,,,1900,38,StackUNet5_CurrentSplit_E50,outputs\icdm2026\metrics\StackUNet5_CurrentSplit_E50_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.5429407634103314,0.1130940921800701,,,,,,,,,,,,,
Private,Private Stage1 Baseline,Private Stage1 Baseline,Private Stage1 Baseline,27.972420835201195,0.9033873518517144,0.0016956827229679,0.0181682126069637,0.0628842776131473,0.799743333006903,,0.5187075370858489,0.1145087443488208,,,1900,38,PM_STAGE1,outputs\icdm2026\metrics\PM_STAGE1_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.5187075370858489,0.1145087443488208,,,,,,,,,,,,,
Private,Private Stage1 LPIPS+GAN,Private Stage1 LPIPS+GAN,Stage1_LPIPS_GAN,27.56198295798881,0.8913763092379821,0.0018501440895488,0.0189154647138754,0.0615930120627346,0.83447988974594,,0.8822090463627594,0.1245389396089472,,,1900,38,PM_STAGE1_LPIPS_GAN_5SLICE_FINAL,outputs\icdm2026\metrics\PM_STAGE1_LPIPS_GAN_5SLICE_FINAL_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.8822090463627594,0.1245389396089472,,,,,,,,,,,,,
Private,Private Stage1 Sharp,Private Stage1 Sharp,PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,27.279659660139,0.8895966669760252,0.0019625133752675,0.0193780276855747,0.062463248066212,0.8606981323803289,,0.9374024818959424,0.1286068927771166,,,1900,38,PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,outputs\icdm2026\metrics\PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030_summary.json,,,,0,missing_downstream_train_full_or_alias,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded),0.9374024818959424,0.1286068927771166,,,,,,,,,,,,,
