dataset,Method,Downstream_Method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,SharpRatio,Tenengrad_or_EdgeGrad,Accuracy,Macro_AUC,Macro_F1,Rows,n_slices,n_subjects,score_fidelity_25,score_medical_30,score_texture_20,score_downstream_25,primary_integrated_score,primary_rank_within_dataset,MetricStem,MetricSource
ADNI,A080+DS Full (Ours),ADNI_A080_DS_FULL,28.815641472559616,0.9141944313151205,0.0014225380805082154,0.01656091341772382,0.054545685111948336,0.8422826313773586,1.022621054007444,0.11411408577684812,0.7099795245343191,0.7226012058570199,0.5930867893828313,9,5616.0,108.0,1.0,0.9812891807602753,0.9773789459925559,0.9403539036550359,0.9749510193403528,1.0,ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST,outputs\icdm2026\metrics\ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST_summary.json
ADNI,A080 Base,ADNI_A080_BASE,28.371389854491593,0.9085649417294057,0.00157690695386737,0.017435576964651985,0.0613451685671538,0.767734461395152,0.9961197227654541,0.11737669270453799,0.7364300210190621,0.7016020671834625,0.6003679277026374,9,5616.0,108.0,0.9799689572428074,0.9006155484594531,0.9961197227654541,0.8347539462288177,0.923089334958833,2.0,ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080,outputs\icdm2026\metrics\ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080_summary.json
ADNI,Old Fidelity Flow,ADNI_OLD_FIDELITY_FLOW,28.091504528286777,0.90531276990036,0.0016655306983705972,0.01768633763548292,0.05696506212807746,0.8670418903548784,0.8891652897772035,0.12316055693982057,0.6775703051387983,0.7133161068044789,0.5725784724532805,9,5616.0,108.0,0.9687699734659918,0.9913405214236488,0.8891652897772035,0.7993905651980364,0.9172753490485424,3.0,ADNI_PM_DIRF_FIDELITY_FLOW_FULL,outputs\icdm2026\metrics\ADNI_PM_DIRF_FIDELITY_FLOW_FULL_summary.json
ADNI,Pix2Pix,ADNI_PIX2PIX,28.01128692661972,0.9013884010117108,0.0016903714791038625,0.017702385909063343,0.0605884088585392,0.826972968838031,0.9126471253894813,0.12718963657075968,0.7120334130608104,0.6892334194659776,0.5988889744893249,9,5616.0,108.0,0.9642477933125805,0.9480912882771323,0.9126471253894813,0.7089815632499096,0.8852641507016584,4.0,ADNI_Pix2Pix_E50,outputs\icdm2026\metrics\ADNI_Pix2Pix_E50_summary.json
ADNI,CycleGAN,ADNI_CYCLEGAN,26.256411082260605,0.8705280325839831,0.002522217882957981,0.0220294568786846,0.0784097185552099,0.6906869032717452,0.8769016944722902,0.1496993691655157,0.6899914836558672,0.6726442721791559,0.5663804400213571,9,5616.0,108.0,0.8769763489444161,0.781312189234625,0.8769016944722902,0.5127133308791667,0.7571964156207411,5.0,ADNI_CycleGAN_E50,outputs\icdm2026\metrics\ADNI_CycleGAN_E50_summary.json
ADNI,U-Net,ADNI_UNET,28.4444048820755,0.9073398449800463,0.0015385588902275794,0.017043016261409204,0.0584098915848085,0.812192962320848,0.5185544939955045,0.11827870735240585,0.6071981227803146,0.688458225667528,0.5133668339688089,9,5616.0,108.0,0.9831995531813911,0.9447192787383345,0.5185544939955045,0.43880333830444107,0.7426274052920593,6.0,ADNI_UNet_E50,outputs\icdm2026\metrics\ADNI_UNet_E50_summary.json
ADNI,LightGuard PriorFlow,ADNI_LIGHTGUARD_PRIOR_FLOW,28.0664082155459,0.9022363276987674,0.001717902068465373,0.01824806335120478,0.058245151017147764,0.8194039108675244,1.1290620493997368,0.12086651495596834,0.5958895049648475,0.6533161068044789,0.4262946690070918,9,5616.0,108.0,0.9640469846860507,0.9507583070194159,0.8709379506002632,0.046906982033204245,0.7121535739056912,7.0,ADNI_STAGE1_PRIOR_FLOW_LIGHTGUARD_4096_E8_BEST_K8,outputs\icdm2026\metrics\ADNI_STAGE1_PRIOR_FLOW_LIGHTGUARD_4096_E8_BEST_K8_summary.json
ADNI,DDIM,ADNI_DDIM,25.78309564791092,0.861652454918521,0.0028004400831603436,0.023572437788400947,0.08796115844322108,0.5803403636988274,0.5693742474319948,0.15479918419014652,0.7397976009277379,0.6468561584840655,0.5872485637660315,9,5616.0,108.0,0.8515643879307473,0.6637355186515691,0.5693742474319948,0.4236808479172576,0.6318068140438708,8.0,ADNI_DDIM_E100_K50_PRETRAINED,outputs\icdm2026\metrics\ADNI_DDIM_E100_K50_PRETRAINED_summary.json
ADNI,Diffusion Bridge,ADNI_DBM,25.880053421220467,0.8765405743167951,0.0027774782981766664,0.023218406571779784,0.09284002647836005,0.5057083290804734,0.4888594477613103,0.14083219443293993,0.6758452924548816,0.657433247200689,0.5582676505730334,9,5616.0,108.0,0.8636929728948646,0.5898728109345261,0.4888594477613103,0.37132848277875374,0.5834890967510244,9.0,ADNI_DBM_E100_K40_PRETRAINED,outputs\icdm2026\metrics\ADNI_DBM_E100_K40_PRETRAINED_summary.json
ADNI,MOTFM,ADNI_MOTFM,17.23231211588274,0.23776110303601478,0.020445744426585363,0.08757941670413329,0.18027146036028224,0.13924946912702632,2.183907817988258,0.26810579545307706,0.7154544466188302,0.7100430663221361,0.6061870203836373,9,5616.0,108.0,0.0,0.0,0.0,0.8749812983452288,0.2187453245863072,10.0,ADNI_MOTFM_I2I_K10_PRETRAINED,outputs\icdm2026\metrics\ADNI_MOTFM_I2I_K10_PRETRAINED_summary.json
ADNI,Real FA,FA_GT,inf,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7240622961513372,0.6757278208441,0.5726649391461949,9,5616.0,108.0,,,,,,,,
ADNI,T1 only,T1_ONLY,,,,,,,,,0.6897867289990578,0.7090439276485788,0.5815397865951036,9,,,,,,,,,,
