Method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,ROI_Spearman,SharpRatio,Tenengrad_or_EdgeGrad,WM_Skeleton_Error,Slice_Consistency,multi_task_mil_ACC,multi_task_mil_AUC,multi_task_mil_F1,slice_svm_vote_ACC,slice_svm_vote_AUC,slice_svm_vote_F1,TestCV_F1_mean,Revised_Composite_Score,MetricStem,MetricSource,n_slices,n_subjects
A080+DS Full (Ours),28.815641472559616,0.9141944313151205,0.0014225380805082154,0.01656091341772382,0.054545685111948336,0.8422826313773586,0.8531436505633464,1.022621054007444,0.11411408577684812,0.07367412170774683,0.031979893799194865,0.761244292237443,0.7466149870801034,0.5936381229050736,0.7364263970428354,0.7478552971576228,0.629584017515052,0.5149058477379449,0.9525499644355585,ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST,outputs\icdm2026\metrics\ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST_summary.json,5616,108
Old Fidelity Flow,28.091504528286777,0.90531276990036,0.0016655306983705972,0.01768633763548292,0.05696506212807746,0.8670418903548784,,0.8891652897772035,0.12316055693982057,,,0.7798896499238964,0.7320413436692507,0.6338776344285022,0.7219449880408785,0.7374677002583979,0.6168499432100851,0.5057454047870588,0.8534659197056962,ADNI_PM_DIRF_FIDELITY_FLOW_FULL,outputs\icdm2026\metrics\ADNI_PM_DIRF_FIDELITY_FLOW_FULL_summary.json,5616,108
PriorFlow Safe Probe,28.068408389268956,0.8940160596196638,0.0017115985843349822,0.018440258110216035,0.05704854197197851,0.8434431589417718,0.8208557730582184,0.9797964896565012,0.11863634854082836,0.07839088102317072,0.029809529097384206,,,,,,,,0.7584335204979352,ADNI_PRIOR_FLOW_SAFE_PROBE_FULL,outputs\icdm2026\metrics\ADNI_PRIOR_FLOW_SAFE_PROBE_FULL_summary.json,5616,108
A080 Base,28.371389854491593,0.9085649417294057,0.00157690695386737,0.017435576964651985,0.0613451685671538,0.767734461395152,0.8420159881346553,0.9961197227654541,0.11737669270453799,0.08269810907415345,0.032882299030046795,0.7265111980865405,0.7093023255813954,0.5560035842293907,0.7620270711024135,0.7494573643410853,0.6581095387933494,0.47753498276774553,0.7370751838634864,ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080,outputs\icdm2026\metrics\ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080_summary.json,5616,108
Pix2Pix,28.01128692661972,0.9013884010117108,0.0016903714791038625,0.017702385909063343,0.0605884088585392,0.826972968838031,,0.9126471253894813,0.12718963657075968,,,,,,,,,0.5167320632080994,0.7114158873034145,ADNI_Pix2Pix_E50,outputs\icdm2026\metrics\ADNI_Pix2Pix_E50_summary.json,5616,108
U-Net,28.4444048820755,0.9073398449800463,0.0015385588902275794,0.017043016261409204,0.0584098915848085,0.812192962320848,,0.5185544939955045,0.11827870735240585,,,,,,,,,0.49312168923667504,0.6232789830217791,ADNI_UNet_E50,outputs\icdm2026\metrics\ADNI_UNet_E50_summary.json,5616,108
CycleGAN,26.256411082260605,0.8705280325839831,0.002522217882957981,0.0220294568786846,0.0784097185552099,0.6906869032717452,,0.8769016944722902,0.1496993691655157,,,,,,,,,0.4528525231141635,0.3366153731863575,ADNI_CycleGAN_E50,outputs\icdm2026\metrics\ADNI_CycleGAN_E50_summary.json,5616,108
DBM,25.880053421220467,0.8765405743167951,0.0027774782981766664,0.023218406571779784,0.09284002647836005,0.5057083290804734,,0.4888594477613103,0.14083219443293993,,,,,,,,,0.5270021478816689,0.16518837277959525,ADNI_DBM_E100_K40_PRETRAINED,outputs\icdm2026\metrics\ADNI_DBM_E100_K40_PRETRAINED_summary.json,5616,108
DDIM,25.78309564791092,0.861652454918521,0.0028004400831603436,0.023572437788400947,0.08796115844322108,0.5803403636988274,,0.5693742474319948,0.15479918419014652,,,,,,,,,0.5115504899076203,0.16419051296942172,ADNI_DDIM_E100_K50_PRETRAINED,outputs\icdm2026\metrics\ADNI_DDIM_E100_K50_PRETRAINED_summary.json,5616,108
T1_ONLY,14.051894684127378,0.7483192941656819,0.04284833664957771,0.10517343168347236,0.3167069901253211,0.05074400491529936,,3.61611881014588,0.3527419856282487,,,0.6776772124374864,0.7216020671834625,0.5846891708172376,0.6770955642530985,0.6975710594315246,0.571070460704607,0.5044032876562248,,ADNI_T1_ONLY,outputs\icdm2026\metrics\ADNI_T1_ONLY_summary.json,5616,108
FA_GT,,1.0,,,,1.0,,1.0,0.0,,,0.784847249402044,0.7127648578811371,0.582244439527886,0.6411991737334203,0.6948320413436692,0.5206981050765734,0.6066742353128779,,ADNI_FA_GT,outputs\icdm2026\metrics\ADNI_FA_GT_summary.json,5616,108
