dataset,result_family,protocol,method,task,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,accuracy,macro_auc,macro_f1,macro_f1_std,source_file,fairness_note
ADNI,latest_full_train_test_MIL,attention_mil,T1_ONLY,cn_vs_ad,167,48,8350,2400,0.9375,0.8372093023255813,0.768860353130016,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,167,48,8350,2400,0.8333333333333334,0.786046511627907,0.6655052264808362,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,FA_GT,cn_vs_ad,167,48,8350,2400,0.8333333333333334,0.6744186046511629,0.6190476190476191,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_A080_BASE,cn_vs_ad,167,48,8350,2400,0.6875,0.7162790697674419,0.5428571428571429,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_A080_DS_FULL,cn_vs_ad,167,48,8350,2400,0.6666666666666666,0.7767441860465116,0.5282555282555282,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,272,48,13600,3900,0.8958333333333334,0.8558139534883721,0.7433155080213903,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,FA_GT,cn_vs_ad,272,48,13600,3900,0.8958333333333334,0.7953488372093023,0.6934865900383141,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,T1_ONLY,cn_vs_ad,272,48,13600,3900,0.8541666666666666,0.8186046511627907,0.6886005560704356,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_A080_DS_FULL,cn_vs_ad,272,48,13600,3900,0.8125,0.8465116279069766,0.5996292863762743,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,multi_task_mil,ADNI_A080_BASE,cn_vs_ad,272,48,13600,3900,0.7916666666666666,0.8093023255813954,0.625,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_A080_BASE,cn_vs_ad,167,48,8350,2400,0.8125,0.8372093023255814,0.6444444444444444,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,T1_ONLY,cn_vs_ad,167,48,8350,2400,0.8125,0.8139534883720931,0.6444444444444444,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_A080_DS_FULL,cn_vs_ad,167,48,8350,2400,0.7916666666666666,0.827906976744186,0.625,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,ADNI_OLD_FIDELITY_FLOW,cn_vs_ad,167,48,8350,2400,0.7916666666666666,0.827906976744186,0.625,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,slice_svm_vote,FA_GT,cn_vs_ad,167,48,8350,2400,0.7083333333333334,0.7674418604651162,0.5213675213675213,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
ADNI,latest_full_train_test_MIL,attention_mil,ADNI_A080_DS_FULL,cn_vs_mci_spectrum,255,73,12750,3650,0.6301369863013698,0.6899224806201552,0.6298591549295774,,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_subject_summary.csv,Subject-level train/test split with subject-level aggregation. Includes only methods with train+test prediction folders.
