Method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,ROI_Spearman,SharpRatio,Tenengrad_or_EdgeGrad,WM_Skeleton_Error,Slice_Consistency,multi_task_mil_ACC,multi_task_mil_AUC,multi_task_mil_F1,slice_svm_vote_ACC,slice_svm_vote_AUC,slice_svm_vote_F1,TestCV_F1_mean,Revised_Composite_Score,MetricStem,MetricSource,n_slices,n_subjects
Private DS Hybrid (Main),28.013569024809744,0.9022712035869297,0.0016660941834867884,0.017584271195687746,0.052514680606362066,0.8916083668476751,,1.009939834917142,0.11824478088240875,,,,,,,,,,,PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,outputs\icdm2026\metrics\PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL_summary.json,1900,38
Private Stage1 Sharp,27.279659660139,0.8895966669760252,0.0019625133752675826,0.019378027685574794,0.062463248066212,0.8606981323803289,,0.9374024818959423,0.12860689277711668,,,,,,,,,,,PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,outputs\icdm2026\metrics\PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030_summary.json,1900,38
Private Fidelity Flow,27.581172183831697,0.8924929921721158,0.0018422495445395868,0.018895640189906485,0.059206047967860574,0.8665068941764639,,0.8691766028771836,0.12365257284358928,,,,,,,,,,,PM_DIRF_FIDELITY_FLOW_FULL,outputs\icdm2026\metrics\PM_DIRF_FIDELITY_FLOW_FULL_summary.json,1900,38
Private U-Net CurrentSplit,28.236095667030074,0.8972939960266414,0.0016059434950033106,0.0178338956764262,0.057485441673350963,0.8361084757039453,,0.4561077564473385,0.11260252300061678,,,,,,,,,,,UNet_CurrentSplit_E100,outputs\icdm2026\metrics\UNet_CurrentSplit_E100_summary.json,1900,38
Private Pix2Pix CurrentSplit,28.11355829940298,0.9035034809300774,0.0016406288084659824,0.01784672268666327,0.05778462710349183,0.8714690061726429,,0.6414842470094795,0.11392259005065027,,,,,,,,,,,Pix2Pix_CurrentSplit_E100,outputs\icdm2026\metrics\Pix2Pix_CurrentSplit_E100_summary.json,1900,38
Private CycleGAN CurrentSplit,26.166225979201798,0.8710763981781507,0.002555543426975706,0.022472693160862516,0.06814568453909535,0.8114500031057172,,0.8642870103487309,0.13939679206005837,,,,,,,,,,,CycleGAN_CurrentSplit_E100,outputs\icdm2026\metrics\CycleGAN_CurrentSplit_E100_summary.json,1900,38
Private StackUNet5 CurrentSplit,28.2576685121275,0.903757953361461,0.0015749113891874195,0.017501167201093938,0.05751056961911289,0.8568747481591782,,0.5429407634103314,0.11309409218007012,,,,,,,,,,,StackUNet5_CurrentSplit_E50,outputs\icdm2026\metrics\StackUNet5_CurrentSplit_E50_summary.json,1900,38
Private DS Atlas Probe,27.071179462335603,0.8857272039902838,0.0020674535345996878,0.020471191065582005,0.06071168516419436,0.8281764908196173,,0.6548417823417125,0.12641673979202384,,,,,,,,,,,PRIVATE_DS_ATLAS_SINGLE_2048_E5,outputs\icdm2026\metrics\PRIVATE_DS_ATLAS_SINGLE_2048_E5_summary.json,1900,38
Private Stage1 Baseline,27.972420835201195,0.9033873518517143,0.0016956827229679268,0.01816821260696375,0.06288427761314731,0.799743333006903,,0.5187075370858489,0.11450874434882088,,,,,,,,,,,PM_STAGE1,outputs\icdm2026\metrics\PM_STAGE1_summary.json,1900,38
Private Stage1 LPIPS+GAN,27.561982957988814,0.8913763092379821,0.0018501440895488486,0.0189154647138754,0.06159301206273468,0.83447988974594,,0.8822090463627594,0.12453893960894723,,,,,,,,,,,PM_STAGE1_LPIPS_GAN_5SLICE_FINAL,outputs\icdm2026\metrics\PM_STAGE1_LPIPS_GAN_5SLICE_FINAL_summary.json,1900,38
