Method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,ROI_Spearman,SharpRatio,Tenengrad_or_EdgeGrad,n_slices,n_subjects
A080+DS Full (Ours),28.815641472559616,0.9141944313151203,0.0014225380805082,0.0165609134177238,0.0545456851119483,0.8422826313773586,0.8531436505633464,1.022621054007444,0.1141140857768481,5616,108
Old Fidelity Flow,28.091504528286777,0.90531276990036,0.0016655306983705,0.0176863376354829,0.0569650621280774,0.8670418903548784,,0.8891652897772035,0.1231605569398205,5616,108
PriorFlow Safe Probe,28.06840838926896,0.8940160596196638,0.0017115985843349,0.018440258110216,0.0570485419719785,0.8434431589417718,0.8208557730582184,0.9797964896565012,0.1186363485408283,5616,108
A080 Base,28.371389854491596,0.9085649417294056,0.0015769069538673,0.0174355769646519,0.0613451685671538,0.767734461395152,0.8420159881346553,0.996119722765454,0.1173766927045379,5616,108
Pix2Pix,28.01128692661972,0.9013884010117108,0.0016903714791038,0.0177023859090633,0.0605884088585392,0.826972968838031,,0.9126471253894812,0.1271896365707596,5616,108
U-Net,28.4444048820755,0.9073398449800464,0.0015385588902275,0.0170430162614092,0.0584098915848085,0.812192962320848,,0.5185544939955045,0.1182787073524058,5616,108
CycleGAN,26.256411082260605,0.8705280325839831,0.0025222178829579,0.0220294568786846,0.0784097185552099,0.6906869032717452,,0.8769016944722902,0.1496993691655157,5616,108
DBM,25.880053421220467,0.8765405743167951,0.0027774782981766,0.0232184065717797,0.09284002647836,0.5057083290804734,,0.4888594477613103,0.1408321944329399,5616,108
DDIM,25.78309564791092,0.861652454918521,0.0028004400831603,0.0235724377884009,0.087961158443221,0.5803403636988274,,0.5693742474319948,0.1547991841901465,5616,108
T1_ONLY,14.051894684127378,0.7483192941656819,0.0428483366495777,0.1051734316834723,0.3167069901253211,0.0507440049152993,,3.61611881014588,0.3527419856282487,5616,108
FA_GT,,1.0,,,,1.0,,1.0,0.0,5616,108
