Method,Downstream_Method,MetricStem,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,SharpRatio,Tenengrad_or_EdgeGrad,n_slices,n_subjects,ROI_Spearman,MetricSource
T1 only,T1_ONLY,,,,,,,,,,,,,
Real FA,FA_GT,,inf,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5616.0,108.0,,
Old Fidelity Flow,ADNI_OLD_FIDELITY_FLOW,ADNI_PM_DIRF_FIDELITY_FLOW_FULL,28.091504528286777,0.90531276990036,0.0016655306983705972,0.01768633763548292,0.05696506212807746,0.8670418903548784,0.8891652897772035,0.12316055693982057,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_PM_DIRF_FIDELITY_FLOW_FULL_summary.json
A080 Base,ADNI_A080_BASE,ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080,28.371389854491593,0.9085649417294057,0.00157690695386737,0.017435576964651985,0.0613451685671538,0.767734461395152,0.9961197227654541,0.11737669270453799,5616.0,108.0,0.8420159881346553,outputs\icdm2026\metrics\ADNI_BLEND_LOWGUARD_LOW_LIGHTGUARD_HF_A080_summary.json
A080+DS Full (Ours),ADNI_A080_DS_FULL,ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST,28.815641472559616,0.9141944313151205,0.0014225380805082154,0.01656091341772382,0.054545685111948336,0.8422826313773586,1.022621054007444,0.11411408577684812,5616.0,108.0,0.8531436505633464,outputs\icdm2026\metrics\ADNI_A080_DS_CORRECTOR_DISEASEROI_HFPRESERVE_FULL_E12_SCOREBEST_summary.json
U-Net,ADNI_UNET,ADNI_UNet_E50,28.4444048820755,0.9073398449800463,0.0015385588902275794,0.017043016261409204,0.0584098915848085,0.812192962320848,0.5185544939955045,0.11827870735240585,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_UNet_E50_summary.json
Pix2Pix,ADNI_PIX2PIX,ADNI_Pix2Pix_E50,28.01128692661972,0.9013884010117108,0.0016903714791038625,0.017702385909063343,0.0605884088585392,0.826972968838031,0.9126471253894813,0.12718963657075968,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_Pix2Pix_E50_summary.json
CycleGAN,ADNI_CYCLEGAN,ADNI_CycleGAN_E50,26.256411082260605,0.8705280325839831,0.002522217882957981,0.0220294568786846,0.0784097185552099,0.6906869032717452,0.8769016944722902,0.1496993691655157,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_CycleGAN_E50_summary.json
LightGuard PriorFlow,ADNI_LIGHTGUARD_PRIOR_FLOW,ADNI_STAGE1_PRIOR_FLOW_LIGHTGUARD_4096_E8_BEST_K8,28.0664082155459,0.9022363276987674,0.001717902068465373,0.01824806335120478,0.058245151017147764,0.8194039108675244,1.1290620493997368,0.12086651495596834,5616.0,108.0,0.8102344697585497,outputs\icdm2026\metrics\ADNI_STAGE1_PRIOR_FLOW_LIGHTGUARD_4096_E8_BEST_K8_summary.json
DDIM,ADNI_DDIM,ADNI_DDIM_E100_K50_PRETRAINED,25.78309564791092,0.861652454918521,0.0028004400831603436,0.023572437788400947,0.08796115844322108,0.5803403636988274,0.5693742474319948,0.15479918419014652,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_DDIM_E100_K50_PRETRAINED_summary.json
Diffusion Bridge,ADNI_DBM,ADNI_DBM_E100_K40_PRETRAINED,25.880053421220467,0.8765405743167951,0.0027774782981766664,0.023218406571779784,0.09284002647836005,0.5057083290804734,0.4888594477613103,0.14083219443293993,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_DBM_E100_K40_PRETRAINED_summary.json
MOTFM,ADNI_MOTFM,ADNI_MOTFM_I2I_K10_PRETRAINED,17.23231211588274,0.23776110303601478,0.020445744426585363,0.08757941670413329,0.18027146036028224,0.13924946912702632,2.183907817988258,0.26810579545307706,5616.0,108.0,,outputs\icdm2026\metrics\ADNI_MOTFM_I2I_K10_PRETRAINED_summary.json
