Method,PSNR,SSIM,MSE,MAE,WM_MAE,ROI_CCC,ROI_Spearman,SharpRatio,Tenengrad_or_EdgeGrad,n_slices,n_subjects
Private DS Hybrid (Main),28.013569024809744,0.9022712035869296,0.0016660941834867,0.0175842711956877,0.052514680606362,0.8916083668476751,,1.009939834917142,0.1182447808824087,1900,38
Private Stage1 Sharp,27.279659660139,0.8895966669760252,0.0019625133752675,0.0193780276855747,0.062463248066212,0.8606981323803289,,0.9374024818959424,0.1286068927771166,1900,38
Private Fidelity Flow,27.581172183831697,0.8924929921721158,0.0018422495445395,0.0188956401899064,0.0592060479678605,0.8665068941764639,,0.8691766028771836,0.1236525728435892,1900,38
Private U-Net CurrentSplit,28.236095667030074,0.8972939960266414,0.0016059434950033,0.0178338956764262,0.0574854416733509,0.8361084757039453,,0.4561077564473385,0.1126025230006167,1900,38
Private Pix2Pix CurrentSplit,28.11355829940298,0.9035034809300774,0.0016406288084659,0.0178467226866632,0.0577846271034918,0.8714690061726429,,0.6414842470094795,0.1139225900506502,1900,38
Private CycleGAN CurrentSplit,26.1662259792018,0.8710763981781507,0.0025555434269757,0.0224726931608625,0.0681456845390953,0.8114500031057172,,0.8642870103487309,0.1393967920600583,1900,38
Private StackUNet5 CurrentSplit,28.2576685121275,0.903757953361461,0.0015749113891874,0.0175011672010939,0.0575105696191128,0.8568747481591782,,0.5429407634103314,0.1130940921800701,1900,38
Private DS Atlas Probe,27.071179462335603,0.8857272039902838,0.0020674535345996,0.020471191065582,0.0607116851641943,0.8281764908196173,,0.6548417823417125,0.1264167397920238,1900,38
Private Stage1 Baseline,27.972420835201195,0.9033873518517144,0.0016956827229679,0.0181682126069637,0.0628842776131473,0.799743333006903,,0.5187075370858489,0.1145087443488208,1900,38
Private Stage1 LPIPS+GAN,27.56198295798881,0.8913763092379821,0.0018501440895488,0.0189154647138754,0.0615930120627346,0.83447988974594,,0.8822090463627594,0.1245389396089472,1900,38
