dataset,paper_method,image_method,downstream_method,PSNR,SSIM,MAE,WM_MAE,ROI_CCC,SharpRatio,downstream_ACC,downstream_AUC,downstream_F1,primary_integrated_score,primary_rank_within_dataset,primary_score_eligible,primary_exclusion_reason
ADNI,A080+DS Full (Ours),A080+DS Full (Ours),ADNI_A080_DS_FULL,28.815641472559616,0.9141944313151203,0.0165609134177238,0.0545456851119483,0.8422826313773586,1.022621054007444,0.7099795245343191,0.7226012058570199,0.5930867893828313,0.964174942062881,1.0,True,
ADNI,Old Fidelity Flow,Old Fidelity Flow,ADNI_OLD_FIDELITY_FLOW,28.091504528286777,0.90531276990036,0.0176863376354829,0.0569650621280774,0.8670418903548784,0.8891652897772035,0.6775703051387983,0.7133161068044789,0.5725784724532805,0.8199238890645194,2.0,True,
ADNI,Pix2Pix,Pix2Pix,ADNI_PIX2PIX,28.01128692661972,0.9013884010117108,0.0177023859090633,0.0605884088585392,0.826972968838031,0.9126471253894812,0.7120334130608104,0.6892334194659776,0.5988889744893249,0.7503815006298323,3.0,True,
ADNI,A080 Base,A080 Base,ADNI_A080_BASE,28.3713898544916,0.9085649417294056,0.0174355769646519,0.0613451685671538,0.767734461395152,0.996119722765454,0.7364300210190621,0.7016020671834625,0.6003679277026374,0.7441587956010033,4.0,True,
ADNI,U-Net,U-Net,ADNI_UNET,28.4444048820755,0.9073398449800464,0.0170430162614092,0.0584098915848085,0.812192962320848,0.5185544939955045,0.6071981227803146,0.688458225667528,0.5133668339688089,0.6254962655347768,5.0,True,
ADNI,LightGuard PriorFlow,PriorFlow Safe Probe,ADNI_LIGHTGUARD_PRIOR_FLOW,28.06840838926896,0.8940160596196638,0.018440258110216,0.0570485419719785,0.8434431589417718,0.9797964896565012,0.5958895049648475,0.6533161068044789,0.4262946690070918,0.48905511245401434,6.0,True,
ADNI,CycleGAN,CycleGAN,ADNI_CYCLEGAN,26.256411082260605,0.8705280325839831,0.0220294568786846,0.0784097185552099,0.6906869032717452,0.8769016944722902,0.6899914836558672,0.6726442721791559,0.5663804400213571,0.22114373320221062,7.0,True,
ADNI,DBM,DBM,ADNI_DBM,25.880053421220467,0.8765405743167951,0.0232184065717797,0.09284002647836,0.5057083290804734,0.4888594477613103,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
ADNI,DDIM,DDIM,ADNI_DDIM,25.78309564791092,0.861652454918521,0.0235724377884009,0.087961158443221,0.5803403636988274,0.5693742474319948,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
ADNI,FA_GT,FA_GT,FA_GT,,1.0,,,1.0,1.0,0.7240622961513372,0.6757278208441,0.5726649391461949,,,False,reference/input upper-bound or non-generated baseline; reported but not ranked by generated-method composite
ADNI,T1_ONLY,T1_ONLY,T1_ONLY,14.051894684127378,0.7483192941656819,0.1051734316834723,0.3167069901253211,0.0507440049152993,3.61611881014588,0.6897867289990578,0.7090439276485788,0.5815397865951036,,,False,reference/input upper-bound or non-generated baseline; reported but not ranked by generated-method composite
Private,PRIVATE_DS_HYBRID,Private DS Hybrid (Main),PRIVATE_DS_HYBRID,28.013569024809744,0.9022712035869296,0.0175842711956877,0.052514680606362,0.8916083668476751,1.009939834917142,0.690197716513506,0.6493080851137116,0.6042186581112754,0.7783751536362908,1.0,True,
Private,FidelityFlow,Private Fidelity Flow,FIDELITY_FLOW,27.581172183831697,0.8924929921721158,0.0188956401899064,0.0592060479678605,0.8665068941764639,0.8691766028771836,0.7050125313283208,0.6814987040050978,0.6361982140614261,0.6828230092074703,2.0,True,
Private,Pix2Pix,Private Pix2Pix CurrentSplit,Pix2Pix,28.11355829940298,0.9035034809300774,0.0178467226866632,0.0577846271034918,0.8714690061726429,0.6414842470094795,0.6483152325257588,0.7096708775736909,0.6049297479334265,0.6667286504100679,3.0,True,
Private,UNet,Private U-Net CurrentSplit,UNet,28.236095667030074,0.8972939960266414,0.0178338956764262,0.0574854416733509,0.8361084757039453,0.4561077564473385,0.6729601782233361,0.7072442239961422,0.6229355338067095,0.6278733379787909,4.0,True,
Private,CycleGAN,Private CycleGAN CurrentSplit,CycleGAN,26.1662259792018,0.8710763981781507,0.0224726931608625,0.0681456845390953,0.8114500031057172,0.8642870103487309,0.6992202729044834,0.686382150576524,0.6508647624797752,0.2857803989515765,5.0,True,
Private,Private DS Atlas Probe,Private DS Atlas Probe,Private DS Atlas Probe,27.071179462335603,0.8857272039902838,0.020471191065582,0.0607116851641943,0.8281764908196173,0.6548417823417125,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
Private,Private StackUNet5 CurrentSplit,Private StackUNet5 CurrentSplit,Private StackUNet5 CurrentSplit,28.2576685121275,0.903757953361461,0.0175011672010939,0.0575105696191128,0.8568747481591782,0.5429407634103314,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
Private,Private Stage1 Baseline,Private Stage1 Baseline,Private Stage1 Baseline,27.972420835201195,0.9033873518517144,0.0181682126069637,0.0628842776131473,0.799743333006903,0.5187075370858489,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
Private,Private Stage1 LPIPS+GAN,Private Stage1 LPIPS+GAN,Stage1_LPIPS_GAN,27.56198295798881,0.8913763092379821,0.0189154647138754,0.0615930120627346,0.83447988974594,0.8822090463627594,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
Private,Private Stage1 Sharp,Private Stage1 Sharp,PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,27.279659660139,0.8895966669760252,0.0193780276855747,0.062463248066212,0.8606981323803289,0.9374024818959424,,,,,,False,missing strict fair downstream result (train-full prediction folder unavailable or excluded)
